Index,Category,SubCategory,Questions,Answers,rationale,Wrong
1,American Government,Principles of American Government,ما هو شكل حكومة الولايات المتحدة؟,جمهورية، جمهورية فيدرالية قائمة على الدستور، ديمقراطية تمثيلية,خلفية: تعمل الولايات المتحدة ضمن نظام مصمم لمنع أي كيان واحد من الحصول على الكثير من السلطة. شرح: الحكومة الأمريكية جمهورية، مما يعني أن المواطنين ينتخبون ممثلين. وهي أيضًا جمهورية فيدرالية قائمة على الدستور، تسترشد بدستور مكتوب وتتقاسم السلطة بين الحكومتين الفيدرالية والولائية. أخيرًا، إنها ديمقراطية تمثيلية، حيث يصوت الناس للأفراد لاتخاذ القرارات نيابة عنهم.,"ملكية، دكتاتورية شيوعية، ملكية مطلقة

ديمقراطية مباشرة، حكم الأقلية، حكم ديني

نظام برلماني، جمهورية اشتراكية، دولة شمولية"
2,American Government,Principles of American Government,ما هو القانون الأعلى في البلاد؟,(الدستور الأمريكي),الدستور الأمريكي هو القانون الأسمى للولايات المتحدة. إنه الوثيقة التأسيسية التي تُرسِي إطار عمل الحكومة الفيدرالية وتضمن حقوق مواطنيها. يجب أن تتوافق جميع القوانين الأخرى، سواء كانت محلية أو على مستوى الولاية أو فيدرالية، مع الدستور. لقد حل محل مواد الكونفدرالية وتم التوقيع عليه في فيلادلفيا من قبل مندوبي المؤتمر الدستوري في عام 1787.,"(إعلان (الولايات المتحدة))

(كونغرس (الولايات المتحدة))

(رئيس (الولايات المتحدة))"
3,American Government,Principles of American Government,اذكر شيئًا واحدًا يفعله دستور الولايات المتحدة.,تشكل الحكومة، تحدد صلاحيات الحكومة، تحدد أجزاء الحكومة، تحمي حقوق الشعب,الدستور الأمريكي هو القانون الأعلى للولايات المتحدة. إنه يضع إطار عمل الحكومة الفيدرالية ويضمن حقوق مواطنيها. إجابات مبسطة: - إنه ينشئ هيكل الحكومة. - يحدد ما يمكن للحكومة وما لا يمكنها فعله. - يحدد الفروع المختلفة للحكومة. - يحمي الحريات والحقوق الفردية.,"ينتخب الرئيس، يعلن الحرب، يتحكم في جميع قوانين الولاية

يطبع النقود، يعين القضاة الفيدراليين، يمنح العفو

يبني الطرق، ينشئ المدارس، يجمع جميع الضرائب"
4,American Government,Principles of American Government,"يبدأ دستور الولايات المتحدة بعبارة ""نحن الشعب"". ماذا تعني عبارة ""نحن الشعب""؟",الحكم الذاتي، السيادة الشعبية، موافقة المحكومين، يجب أن يحكم الناس أنفسهم، (مثال على) العقد الاجتماعي,"""نحن الشعب"" تمثل فكرة أن قوة الحكومة تأتي من مواطنيها. هذا المفهوم أساسي للديمقراطية الأمريكية، ويعني أن الشعب نفسه يملك سلطة الحكم، وأن الحكومة لا توجد إلا بإذنه.","الرقابة الحكومية، المرسوم الرئاسي، المراجعة القضائية
السلطة التنفيذية، السلطة التشريعية، سيادة الدولة، الشعب محكوم بالقوانين
التفويض الفيدرالي، التعديل الدستوري، حكم المحكمة العليا، (مثال على) الضوابط والتوازنات"
5,American Government,Principles of American Government,كيف يتم إجراء التغييرات على دستور الولايات المتحدة؟,تعديلات، عملية التعديل,يمكن تغيير دستور الولايات المتحدة من خلال عملية تعديل رسمية. ويتضمن ذلك اقتراحًا إما بتصويت ثلثي مجلس النواب ومجلس الشيوخ، أو بمؤتمر وطني تدعو إليه ثلثا الهيئات التشريعية للولايات. وبمجرد اقتراحه، يجب التصديق على التعديل من قبل ثلاثة أرباع الولايات، إما من خلال هيئاتها التشريعية أو عن طريق المؤتمرات. وقد صمم الآباء المؤسسون هذه العملية الصارمة لضمان عدم تغيير الدستور بسهولة.,"الأوامر التنفيذية، المراسيم الرئاسية

أحكام المحكمة العليا، المراجعة القضائية

قرارات الكونغرس، الإجراءات التشريعية"
6,American Government,Principles of American Government,"ماذا يحمي ""وثيقة الحقوق""؟",حقوق الأمريكيين (الأساسية)، حقوق الأشخاص الذين يعيشون في الولايات المتحدة (الأساسية),وثيقة حقوق الإنسان هي التعديلات العشرة الأولى لدستور الولايات المتحدة. إنها تضمن حقوقًا وحريات مدنية أساسية للأفراد، وتحميهم من تجاوز الحكومة. يشير الجواب إلى أنها تحمي الحقوق الأساسية لجميع الأشخاص المقيمين في الولايات المتحدة.,"الواجبات (الأساسية) للمواطنين، المسؤوليات (الأساسية) للأشخاص الذين يعيشون في الولايات المتحدة

صلاحيات الرئيس (الأساسية)، صلاحيات الحكومة (الأساسية)

قوانين البلاد (الأساسية)، قواعد الجيش (الأساسية)"
7,American Government,Principles of American Government,كم عدد التعديلات التي يتضمنها دستور الولايات المتحدة؟,٢٧ (سبعة وعشرون),يحتوي دستور الولايات المتحدة حاليًا على 27 تعديلاً. هذه التعديلات هي تغييرات أو إضافات على النص الأصلي للدستور، مصممة لتكييف الحكومة مع الأوقات والقيم المتغيرة، مع الحفاظ على مبادئها الأساسية. تُعرف التعديلات العشرة الأولى مجتمعة باسم وثيقة الحقوق، والتي تضمن الحريات الفردية الأساسية.,"واحد وعشرون (٢١)

ثلاثة وثلاثون (٣٣)

ستة عشر (١٦)"
8,American Government,Principles of American Government,لماذا إعلان الاستقلال مهم؟,تقول إن أمريكا حرة من السيطرة البريطانية.، تقول إن جميع الناس يولدون متساوين.، تحدد الحقوق المتأصلة.، تحدد الحريات الفردية.,إعلان الاستقلال هو وثيقة تأسيسية للولايات المتحدة. وقد أعلن استقلال المستعمرات الأمريكية عن الحكم البريطاني، وأكد أن جميع الناس خلقوا متساوين بحقوق متأصلة، وحدد الحريات الفردية التي ستحميها الأمة الجديدة.,"تقول إن أمريكا قوة عظمى عالمية.، تقول إن جميع الناس عليهم دفع الضرائب.، تحدد صلاحيات الحكومة.، تحدد المسؤوليات الجماعية.

تقول إن أمريكا اكتشفت أراضي جديدة.، تقول إن جميع الناس يجب أن يخدموا في الجيش.، تحدد المزايا الاقتصادية.، تحدد الإنجازات الوطنية.

تقول إن أمريكا هي الأمة الأقوى.، تقول إن جميع الناس محميون من الهجمات الأجنبية.، تحدد الاستراتيجيات العسكرية.، تحدد خطط الدفاع الوطني."
9,American Government,Principles of American Government,ما هي وثيقة التأسيس التي نصت على أن المستعمرات الأمريكية كانت حرة من بريطانيا؟,إعلان الاستقلال,إعلان الاستقلال هو الوثيقة التأسيسية للولايات المتحدة، التي تم اعتمادها في 4 يوليو 1776. وقد أعلنت وشرحت انفصال المستعمرات الأمريكية عن بريطانيا العظمى، مشيرة إلى أنها كانت حرة ومستقلة. وكان الغرض منها حشد المستعمرين، وكسب الحلفاء الأجانب، والإعلان رسميًا عن إنشاء دولة جديدة بعد بدء حرب الاستقلال الأمريكية في أبريل 1775.,"وثائق الكونفدرالية

دستور الولايات المتحدة

وثيقة الحقوق"
10,American Government,Principles of American Government,اذكر فكرتين مهمتين من إعلان الاستقلال ودستور الولايات المتحدة.,"مساواة, حرية, العقد الاجتماعي, الحقوق الطبيعية, الحكومة المحدودة, الحكم الذاتي",هذه الأفكار أساسية لإعلان الاستقلال ودستور الولايات المتحدة، وتشكل النظام الحكومي الأمريكي. * المساواة: جميع الأفراد متساوون ويمتلكون نفس الحقوق. * الحرية: التحرر من الحكومة القمعية والحق في اتخاذ خيارات المرء. * العقد الاجتماعي: فكرة أن سلطة الحكومة تأتي من موافقة المحكومين. * الحقوق الطبيعية: حقوق متأصلة في جميع الناس، مثل الحياة والحرية والملكية (أو السعي وراء السعادة). * الحكومة المحدودة: سلطة الحكومة مقيدة بالقانون لحماية الحريات الفردية. * الحكم الذاتي: يحكم الشعب نفسه من خلال ممثلين منتخبين.,"الشيوعية, الدكتاتورية, الملكية, الشمولية, الفوضى, الإقطاعية

الاشتراكية, الأوليغارشية, الثيوقراطية, الإمبريالية, الاستعمار, الحكم المطلق

الفاشية, الاستبداد, الشعبوية, الاستبداد, النازية, الأرستقراطية"
