Index,Category,SubCategory,Questions,Answers,rationale,Wrong
1,American Government,Principles of American Government,Ano ang uri ng pamahalaan ng Estados Unidos?,"Republika, Republika ng pederal na batay sa Konstitusyon, Kinatawan ng demokrasya","Background: Ang Estados Unidos ay gumagana sa ilalim ng isang sistema na idinisenyo upang maiwasan ang anumang iisang entidad na makakuha ng labis na kapangyarihan. Paliwanag: Ang pamahalaan ng U.S. ay isang republika, ibig sabihin, ang mga mamamayan ay naghahalal ng mga kinatawan. Ito rin ay isang republika ng pederal na batay sa Konstitusyon, ginagabayan ng isang nakasulat na konstitusyon at nagbabahagi ng kapangyarihan sa pagitan ng pederal at mga pamahalaan ng estado. Sa wakas, ito ay isang kinatawan na demokrasya, kung saan ang mga tao ay bumoboto para sa mga indibidwal upang gumawa ng mga desisyon sa kanilang ngalan.","Monarkiya, Komunistang diktadura, Ganap na monarkiya
Direktang demokrasya, Oligarkiya, Teokrasya
Sistemang parlyamentaryo, Republikang nakabatay sa sosyalismo, Totalitaryang estado"
2,American Government,Principles of American Government,Ano ang kataas-taasang batas ng lupain?,Saligang Batas,"Ang Konstitusyon ng U.S. ang pinakamataas na batas ng Estados Unidos. Ito ang pundasyong dokumento na nagtatatag ng balangkas para sa pederal na pamahalaan at nagagarantiya sa mga karapatan ng mga mamamayan nito. Ang lahat ng iba pang batas, lokal man, estado, o pederal, ay dapat sumunod sa Konstitusyon. Pinalitan nito ang Mga Artikulo ng Kumpederasyon at nilagdaan sa Philadelphia ng mga delegado ng Constitutional Convention noong 1787.","(U.S.) Pahayag
(U.S.) Kongreso
(U.S.) Pangulo"
3,American Government,Principles of American Government,Magbigay ng isang bagay na ginagawa ng Konstitusyon ng U.S.,"Bumubuo ng pamahalaan, Nagtatakda ng kapangyarihan ng pamahalaan, Nagtatakda ng mga bahagi ng pamahalaan, Pinoprotektahan ang mga karapatan ng mga mamamayan","Ang Konstitusyon ng U.S. ang pinakamataas na batas ng Estados Unidos. Itinatatag nito ang balangkas para sa pederal na pamahalaan at ginagarantiyahan ang mga karapatan ng mga mamamayan nito.

Pinadaling sagot:  - Lumilikha ito ng istraktura ng pamahalaan.
  - Binabalangkas nito kung ano ang maaaring gawin at hindi gawin ng pamahalaan.
  - Tinutukoy nito ang iba't ibang sangay ng pamahalaan.
  - Pinoprotektahan nito ang mga indibidwal na kalayaan at karapatan.","* Naghahalal ng Pangulo
  * Nagdedeklara ng digmaan, Kinokontrol ang lahat ng batas ng estado, Naglilimbag ng pera, Nagtatalaga ng mga pederal na hukom, Nagbibigay ng pardon
  * Nagtatayo ng mga kalsada, Nagtatatag ng mga paaralan, Nangongolekta ng lahat ng buwis"
4,American Government,Principles of American Government,"Ang Konstitusyon ng U.S. ay nagsisimula sa mga salitang ""We the People."" Ano ang ibig sabihin ng ""We the People""?","Pagsasarili, Popular na soberanya, Pahintulot ng pinamamahalaan, Dapat mamuno ang mga tao sa kanilang sarili, (Halimbawa ng) kontratang panlipunan","Ang ""Kami ang Sambayanan"" ay kumakatawan sa ideya na ang kapangyarihan ng pamahalaan ay nagmumula sa mga mamamayan nito. Ang konseptong ito ay pundamental sa demokrasya ng Amerika, na nangangahulugang ang mga tao mismo ang may awtoridad na mamahala, at ang pamahalaan ay umiiral lamang sa kanilang pahintulot.","Pangangasiwa ng Pamahalaan, Atas ng Pangulo, Pagsusuri ng Hudikatura
Ehekutibong kapangyarihan, Awtoridad ng Kongreso, Soberanya ng Estado
Utos ng Pederal, Pagbabago ng Konstitusyon, Desisyon ng Korte Suprema"
5,American Government,Principles of American Government,Paano binabago ang Konstitusyon ng U.S.?,"Mga Susog, Ang proseso ng susog","Ang Konstitusyon ng U.S. ay maaaring baguhin sa pamamagitan ng pormal na proseso ng susog. Ito ay nangangailangan ng panukala sa pamamagitan ng dalawang-katlong boto ng parehong Kapulungan ng mga Kinatawan at ng Senado o sa pamamagitan ng isang pambansang kombensyon na ipinatawag ng dalawang-katlo ng mga lehislatura ng estado. Kapag naipasa na, ang isang susog ay dapat kumpirmahin ng tatlong-kapat ng mga estado, sa pamamagitan man ng kanilang mga lehislatura o ng mga kombensyon. Ang mahigpit na prosesong ito ay idinisenyo ng mga Founding Fathers upang tiyakin na ang Konstitusyon ay hindi madaling mababago.","Mga Kautusang Tagapagpaganap, Mga Dekretong Pampanguluhan
Mga Pasya ng Korte Suprema, Pagsusuri ng Hudikatura
Mga Resolusyon ng Kongreso, Mga Batas Lehislatibo"
6,American Government,Principles of American Government,Ano ang pinoprotektahan ng Bill of Rights?,"(Ang mga batayang) karapatan ng mga Amerikano, (Ang mga batayang) karapatan ng mga taong naninirahan sa Estados Unidos","Ang Bill of Rights ay ang unang sampung susog sa Konstitusyon ng Estados Unidos. Ginagarantiyahan nito ang mahahalagang karapatan at kalayaang sibil sa mga indibidwal, pinoprotektahan sila mula sa labis na pag-abot ng pamahalaan. Ang sagot ay nagpapahiwatig na sinisiguro nito ang mga pangunahing karapatan ng lahat ng taong naninirahan sa Estados Unidos.","(Ang mga batayang) tungkulin ng mga mamamayan,
(Ang mga batayang) responsibilidad ng mga taong
naninirahan sa Estados Unidos"
7,American Government,Principles of American Government,Ilang susog mayroon ang Konstitusyon ng U.S.? *,sagot,"Ang Konstitusyon ng U.S. ay kasalukuyang mayroong 27 susog. Ang mga susog na ito ay mga pagbabago o pagdaragdag sa orihinal na teksto ng Konstitusyon, na idinisenyo upang iakma ang pamahalaan sa nagbabagong panahon at halaga, habang pinapanatili ang mga pangunahing prinsipyo nito. Ang unang sampung susog ay kolektibong kilala bilang Bill of Rights, na ginagarantiya ang mga pangunahing indibidwal na kalayaan.","Dalawampu't isa (21)
Tatlumpu't tatlo (33)
Labing-anim (16)"
8,American Government,Principles of American Government,Bakit mahalaga ang Deklarasyon ng Kalayaan?,"Sinasabi nito na ang Amerika ay malaya mula sa kontrol ng Britanya., Sinasabi nito na ang lahat ng tao ay nilikha na pantay-pantay., Tinutukoy nito ang mga likas na karapatan., Tinutukoy nito ang mga indibidwal na kalayaan.","Ang Deklarasyon ng Kalayaan ay isang mahalagang dokumento para sa Estados Unidos. Ipinahayag nito ang kalayaan ng mga kolonya ng Amerika mula sa pamamahala ng Britanya, iginiit na ang lahat ng tao ay nilikha na pantay-pantay na may likas na karapatan, at binalangkas ang mga indibidwal na kalayaan na poprotektahan ng bagong bansa.","Sinasabi nito na ang Amerika ay isang pandaigdigang kapangyarihan., Sinasabi nito na lahat ng tao ay kailangang magbayad ng buwis., Tinutukoy nito ang mga kapangyarihan ng pamahalaan., Tinutukoy nito ang mga kolektibong responsibilidad.
Sinasabi nito na ang Amerika ay nakatuklas ng mga bagong lupain., Sinasabi nito na lahat ng tao ay dapat maglingkod sa militar., Tinutukoy nito ang mga benepisyo sa ekonomiya., Tinutukoy nito ang mga pambansang tagumpay.
Sinasabi nito na ang Amerika ang pinakamalakas na bansa., Sinasabi nito na lahat ng tao ay protektado mula sa dayuhang pag-atake., Tinutukoy nito ang mga estratehiya ng militar., Tinutukoy nito ang mga plano sa pambansang depensa."
9,American Government,Principles of American Government,Anong founding document ang nagsasaad na malaya ang mga kolonya ng Amerika mula sa Britain?,Pagpapahayag ng Kasarinlan,"Ang Declaration of Independence ay ang founding document ng Estados Unidos, na pinagtibay noong Hulyo 4, 1776. Ipinahayag at ipinaliwanag nito ang paghihiwalay ng mga kolonya ng Amerika mula sa Great Britain, na nagsasaad na sila ay malaya at independiyente. Ang layunin nito ay upang tipunin ang mga kolonista, makakuha ng mga dayuhang kaalyado, at pormal na ipahayag ang paglikha ng isang bagong bansa matapos magsimula ang American Revolutionary War noong Abril 1775.","Mga Artikulo ng Konpederasyon
Konstitusyon ng Estados Unidos
Katipunan ng mga Karapatan"
10,American Government,Principles of American Government,Pangalanan ang dalawang mahalagang ideya mula sa Deklarasyon ng Kalayaan at Konstitusyon ng U.S.,"Pagkakapantay-pantay, Kalayaan, Kontratang panlipunan, Likas na karapatan, Limitadong pamahalaan, Pamamahala sa sarili","Ang mga ideyang ito ay pundamental sa Deklarasyon ng Kalayaan at sa Konstitusyon ng U.S., na humuhubog sa sistema ng pamahalaan ng Amerika.  * Pagkakapantay-pantay: Lahat ng indibidwal ay nilikha na pantay-pantay at nagtataglay ng parehong karapatan.   * Kalayaan: Kalayaan mula sa mapang-aping pamahalaan at karapatang gumawa ng sariling pagpili.   * Kontratang panlipunan: Ang ideya na ang awtoridad ng pamahalaan ay nagmumula sa pahintulot ng pinamamahalaan.   * Likas na karapatan: Mga karapatang likas sa lahat ng tao, tulad ng buhay, kalayaan, at pag-aari (o ang paghahanap ng kaligayahan).   * Limitadong pamahalaan: Ang kapangyarihan ng pamahalaan ay pinaghihigpitan ng batas upang protektahan ang mga kalayaang indibidwal.   * Pamamahala sa sarili: Ang mga tao ay namumuno sa kanilang sarili sa pamamagitan ng mga inihalal na kinatawan.","Komunismo, Diktadura, Monarkiya, Totalitaryanismo, Anarkiya, Pyudalismo
Sosyalismo, Oligarkiya, Teokrasya, Imperyalismo, Kolonyalismo, Absolutismo
Pasismo, Awtoritaryanismo, Populismo, Despotismo, Nazismo, Aristokrasya"
