Index,Category,SubCategory,Questions,Answers,rationale,Wrong
1,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,अमरीका सरकार का रूप क्या है?,"गणतंत्र, संविधान आधारित संघीय गणराज्य, प्रतिनिधिक लोकतंत्र","पृष्ठभूमि: संयुक्त राज्य अमेरिका एक ऐसी प्रणाली के तहत काम करता है जिसे किसी एक इकाई को बहुत अधिक शक्ति प्राप्त करने से रोकने के लिए डिज़ाइन किया गया है। स्पष्टीकरण: अमेरिकी सरकार एक गणराज्य है, जिसका अर्थ है कि नागरिक प्रतिनिधियों का चुनाव करते हैं। यह एक संविधान-आधारित संघीय गणराज्य भी है, जो एक लिखित संविधान द्वारा निर्देशित होता है और संघीय और राज्य सरकारों के बीच शक्ति साझा करता है। अंत में, यह एक प्रतिनिधि लोकतंत्र है, जहाँ लोग अपनी ओर से निर्णय लेने के लिए व्यक्तियों को वोट देते हैं।","राजतंत्र, कम्युनिस्ट तानाशाही, पूर्ण राजशाही
प्रत्यक्ष लोकतंत्र, कुलीनतंत्र, धर्मतंत्र
संसदीय प्रणाली, समाजवाद-आधारित गणराज्य, अधिनायकवादी राज्य"
2,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,इस देश का सर्वोच्च काननू क्या है? *,संविधान,"अमेरिकी संविधान संयुक्त राज्य अमेरिका का सर्वोच्च कानून है। यह संघीय सरकार के लिए एक ढांचा स्थापित करने और अपने नागरिकों के अधिकारों की गारंटी देने वाला मूलभूत दस्तावेज है। अन्य सभी कानून, चाहे स्थानीय, राज्य या संघीय हों, संविधान का पालन करना चाहिए। इसने परिसंघ के अनुच्छेदों का स्थान लिया और 1787 में फिलाडेल्फिया में संवैधानिक कन्वेंशन के प्रतिनिधियों द्वारा हस्ताक्षरित किया गया था।","(यू.एस.) घोषणापत्र
(यू.एस.) कांग्रेस
(यू.एस.) राष्ट्रपति"
3,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,अमरीकी संविधान क्या करता हैइसका एक उदाहरण दें।,"सरकार स्थापित करता है, सरकार की शक्तियों को परिभाषित करता है, सरकार के भागों को परिभाषित करता है, लोगों के अधिकारों की रक्षा करता है",अमेरिकी संविधान संयुक्त राज्य अमेरिका का सर्वोच्च कानून है। यह संघीय सरकार के लिए एक ढांचा स्थापित करता है और इसके नागरिकों के अधिकारों की गारंटी देता है। सरलीकृत उत्तर: - यह सरकार की संरचना बनाता है। - यह बताता है कि सरकार क्या कर सकती है और क्या नहीं कर सकती है। - यह सरकार की विभिन्न शाखाओं को परिभाषित करता है। - यह व्यक्तिगत स्वतंत्रता और अधिकारों की रक्षा करता है।,"राष्ट्रपति का चुनाव करें
युद्ध की घोषणा करें, सभी राज्य कानूनों को नियंत्रित करें
पैसा छापना, संघीय न्यायाधीशों की नियुक्ति करना, क्षमादान देना
सड़कें बनाना, स्कूल स्थापित करना, सभी कर एकत्र करना"
4,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,"अमरीकी संविधान """"वी द पीपल"""" शब्दों सेशरूु होता है। """"वी द पीपल"""" का अर्थ क्या है?","स्वशासन, लोकप्रिय संप्रभता ु, शासितों की सहमति, लोगों को खदु पर शासन करना चाहिए, सामाजिक अनबंधु ( का उदाहरण )","""हम भारत के लोग"" यह दर्शाता है कि सरकार की शक्ति उसके नागरिकों से आती है। यह अवधारणा अमेरिकी लोकतंत्र के लिए मौलिक है, जिसका अर्थ है कि लोगों के पास शासन करने का अधिकार है, और सरकार केवल उनकी अनुमति से ही अस्तित्व में है।","सरकारी निगरानी, राष्ट्रपति का फरमान, न्यायिक समीक्षा, (उदाहरण) विधायी प्रक्रिया
कार्यकारी शक्ति, कांग्रेसी अधिकार, राज्य संप्रभुता, लोग कानूनों द्वारा शासित होते हैं
संघीय जनादेश, संवैधानिक संशोधन, सर्वोच्च न्यायालय का निर्णय, (उदाहरण) नियंत्रण और संतुलन"
5,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,अमरीकी संविधान मेंबदलाव कैसेकिए जातेहैं?,"संशोधन, संशोधन प्रक्रिया","अमेरिकी संविधान को औपचारिक संशोधन प्रक्रिया के माध्यम से बदला जा सकता है। इसमें या तो हाउस ऑफ रिप्रेजेंटेटिव्स और सीनेट दोनों के दो-तिहाई वोट से या दो-तिहाई राज्य विधानसभाओं द्वारा बुलाए गए एक राष्ट्रीय सम्मेलन द्वारा एक प्रस्ताव शामिल होता है। एक बार प्रस्तावित होने के बाद, एक संशोधन को तीन-चौथाई राज्यों द्वारा, या तो उनकी विधानसभाओं के माध्यम से या सम्मेलनों द्वारा अनुमोदित किया जाना चाहिए। यह कठोर प्रक्रिया संस्थापक पिताओं द्वारा यह सुनिश्चित करने के लिए डिज़ाइन की गई थी कि संविधान को आसानी से बदला न जा सके।","कार्यकारी आदेश, राष्ट्रपति के अध्यादेश
सुप्रीम कोर्ट के नियम, न्यायिक समीक्षा
कांग्रेसी प्रस्ताव, विधायी अधिनियम"
6,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,अधिकार विधेयक किसका संरक्षण करता है?,"अमरीकियों के (मलू ) अधिकार, संयक्तु राज्य मेंरहनेवालेलोगों के (मलू ) अधिकार।","अधिकार विधेयक संयुक्त राज्य अमेरिका के संविधान में पहले दस संशोधन हैं। यह व्यक्तियों को आवश्यक अधिकार और नागरिक स्वतंत्रताएं सुनिश्चित करता है, उन्हें सरकारी अतिक्रमण से बचाता है। उत्तर इंगित करता है कि यह संयुक्त राज्य अमेरिका में रहने वाले सभी लोगों के मौलिक अधिकारों की रक्षा करता है।","नागरिकों के (मूल) कर्तव्य, संयुक्त राज्य अमेरिका में रहने वाले लोगों के (मूल) जिम्मेदारियां
राष्ट्रपति की (मूल) शक्तियां, सरकार की (मूल) शक्तियां
भूमि के (मूल) कानून, सेना के लिए (मूल) नियम"
7,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,संविधान मेंकितनेसंशोधन हैं? *,सत्ताइस (27),"अमेरिकी संविधान में वर्तमान में 27 संशोधन हैं। ये संशोधन संविधान के मूल पाठ में परिवर्तन या जोड़ हैं, जिन्हें बदलते समय और मूल्यों के अनुकूल सरकार को ढालने के लिए डिज़ाइन किया गया है, जबकि इसके मूल सिद्धांतों को संरक्षित रखा गया है। पहले दस संशोधनों को सामूहिक रूप से बिल ऑफ राइट्स के रूप में जाना जाता है, जो मौलिक व्यक्तिगत स्वतंत्रता की गारंटी देते हैं।","इक्कीस (21)
तैंतीस (33)
सोलह (16)"
8,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,स्वतंत्रता की घोषणा क्यों महत्वपर्णू र्णहै?,"यह कहती हैकि अमरीका ब्रिटिश नियंत्रण सेमक्तु है।, यह कहती हैकि सभी लोग समान बनाए गए हैं।, यह अतं र्निहिर्नि त अधिकारों की पहचान करती है।, यह वयै क्तिक आज़ादी की पहचान करती है।","स्वतंत्रता की घोषणा संयुक्त राज्य अमेरिका के लिए एक मूलभूत दस्तावेज है। इसने अमेरिकी उपनिवेशों की ब्रिटिश शासन से स्वतंत्रता की घोषणा की, यह दावा किया कि सभी लोग अंतर्निहित अधिकारों के साथ समान बनाए गए हैं, और व्यक्तिगत स्वतंत्रताओं को रेखांकित किया है जिनकी नई राष्ट्र रक्षा करेगा।","यह कहता है कि अमेरिका एक वैश्विक महाशक्ति है।, यह कहता है कि सभी लोगों को कर देना होगा।, यह सरकारी शक्तियों की पहचान करता है।, यह सामूहिक जिम्मेदारियों की पहचान करता है।
यह कहता है कि अमेरिका ने नई भूमि की खोज की।, यह कहता है कि सभी लोगों को सेना में सेवा करनी होगी।, यह आर्थिक लाभों की पहचान करता है।, यह राष्ट्रीय उपलब्धियों की पहचान करता है।
यह कहता है कि अमेरिका सबसे मजबूत राष्ट्र है।, यह कहता है कि सभी लोग विदेशी हमले से सुरक्षित हैं।, यह सैन्य रणनीतियों की पहचान करता है।, यह राष्ट्रीय रक्षा योजनाओं की पहचान करता है।"
9,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,कौन सेसंस्थापक दस्तावेज मेंलिखा हुआ हैकि अमरीकी उपनिवेश ब्रिटेन सेमक्तु थे?,स्वतंत्रता की घोषणा,"स्वतंत्रता की घोषणा संयुक्त राज्य अमेरिका का संस्थापक दस्तावेज़ है, जिसे 4 जुलाई, 1776 को अपनाया गया था। इसने ग्रेट ब्रिटेन से अमेरिकी उपनिवेशों के अलगाव की घोषणा की और समझाया कि वे स्वतंत्र और स्वायत्त थे। इसका उद्देश्य उपनिवेशवादियों को एकजुट करना, विदेशी सहयोगियों को जीतना और अप्रैल 1775 में अमेरिकी क्रांतिकारी युद्ध शुरू होने के बाद एक नए देश के निर्माण की औपचारिक घोषणा करना था।","महासंघ के अनुच्छेद
संयुक्त राज्य अमेरिका का संविधान
अधिकारों का बिल"
10,अमरीकी सरकार,अमरीकी सरकार के सिद्धांत,स्वतंत्रता की घोषणा और अमरीकी संविधान सेदो महत्वपर्णू र्णविचार बताइए।,"समानता, स्वतंत्रता, सामाजिक अनबंधु, प्राकृतिक अधिकार, सीमित सरकार, स्वशासन","ये विचार स्वतंत्रता की घोषणा और अमेरिकी संविधान के लिए मौलिक हैं, जो अमेरिकी सरकार की प्रणाली को आकार देते हैं। * समानता: सभी व्यक्ति समान बनाए गए हैं और उनके पास समान अधिकार हैं। * स्वतंत्रता: दमनकारी सरकार से मुक्ति और अपने स्वयं के चुनाव करने का अधिकार। * सामाजिक अनुबंध: यह विचार कि सरकार का अधिकार शासितों की सहमति से आता है। * प्राकृतिक अधिकार: सभी लोगों में निहित अधिकार, जैसे जीवन, स्वतंत्रता और संपत्ति (या खुशी का पीछा)। * सीमित सरकार: व्यक्तिगत स्वतंत्रता की रक्षा के लिए सरकार की शक्ति कानून द्वारा प्रतिबंधित है। * स्वशासन: लोग निर्वाचित प्रतिनिधियों के माध्यम से स्वयं पर शासन करते हैं।","साम्यवाद, तानाशाही, राजशाही, अधिनायकवाद, अराजकता, सामंतवाद
समाजवाद, कुलीनतंत्र, धर्मतंत्र, साम्राज्यवाद, उपनिवेशवाद, निरंकुशता
फासीवाद, अधिनायकवाद, लोकलुभावनवाद, निरंकुशता, नाज़ीवाद, अभिजाततंत्र"
