Index,Category,SubCategory,Questions,Answers,rationale,Wrong
1,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Các hình thức của chính phủ Hoa Kỳ là gì?,"Cộng Hòa, Cộng Hòa liên bang dựa trên Hiến Pháp, Dân Chủ đại diện","Bối cảnh: Hoa Kỳ hoạt động theo một hệ thống được thiết kế để ngăn chặn bất kỳ thực thể đơn lẻ nào giành được quá nhiều quyền lực. Giải thích: Chính phủ Hoa Kỳ là một nước cộng hòa, nghĩa là công dân bầu ra đại diện. Đây cũng là một nước cộng hòa liên bang dựa trên hiến pháp, được hướng dẫn bởi một hiến pháp bằng văn bản và chia sẻ quyền lực giữa chính phủ liên bang và tiểu bang. Cuối cùng, đây là một nền dân chủ đại diện, nơi người dân bỏ phiếu cho các cá nhân để đưa ra quyết định thay mặt họ.","Chế độ quân chủ, Chế độ độc tài cộng sản, Chế độ quân chủ chuyên chế
Nền dân chủ trực tiếp, Chế độ đầu sỏ, Thần quyền
Hệ thống nghị viện, Cộng hòa xã hội chủ nghĩa, Nhà nước độc tài toàn trị"
2,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Bộ luật tối cao của quốc gia là gì? *,Hiến pháp,"Hiến pháp Hoa Kỳ là luật tối cao của Hoa Kỳ. Đây là văn kiện nền tảng thiết lập khuôn khổ cho chính phủ liên bang và đảm bảo quyền của công dân. Tất cả các luật khác, dù là địa phương, tiểu bang hay liên bang, đều phải tuân thủ Hiến pháp. Nó đã thay thế Điều khoản Hợp bang và được ký tại Philadelphia bởi các đại biểu của Hội nghị Lập hiến vào năm 1787.","Tuyên ngôn
Quốc hội
Tổng thống"
3,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Kể tên một điều mà Hiến Pháp Hoa Kỳ thực hiện.,"Thiết lập Chính phủ, Mô tả quyền hạn Chính phủ, Mô tả tổ chức Chính phủ, Bảo vệ những quyền cơ bản của người dân Hoa Kỳ",Hiến pháp Hoa Kỳ là luật tối cao của Hợp chúng quốc Hoa Kỳ. Nó thiết lập khuôn khổ cho chính phủ liên bang và đảm bảo các quyền của công dân. Các câu trả lời đơn giản hóa: - Nó tạo ra cấu trúc của chính phủ. - Nó phác thảo những gì chính phủ có thể và không thể làm. - Nó xác định các nhánh khác nhau của chính phủ. - Nó bảo vệ các quyền tự do và quyền cá nhân.,"Bầu cử Tổng thống, Tuyên bố chiến tranh, Kiểm soát tất cả các luật tiểu bang
In tiền, Bổ nhiệm thẩm phán liên bang, Ân xá
Xây dựng đường sá, Thành lập trường học, Thu tất cả các loại thuế"
4,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,"Hiến Pháp Hoa Kỳ được bắt đầu bằng các từ """"Chúng tôi, nhân dân."""" """"Chúng tôi,","Tự quản, Chủ quyền phổ biến, Sự ưng thuận của nhân dân, Người dân nên tự quản lý, (Ví dụ về) khế ước xã hội","""Chúng tôi, nhân dân"" thể hiện ý tưởng rằng quyền lực của chính phủ đến từ công dân. Khái niệm này là nền tảng của nền dân chủ Mỹ, có nghĩa là chính người dân có quyền tự quản, và chính phủ chỉ tồn tại với sự cho phép của họ.","Giám sát của chính phủ, Sắc lệnh tổng thống, Đánh giá tư pháp
Quyền hành pháp, Quyền lập pháp, Chủ quyền tiểu bang, Người dân bị điều chỉnh bởi luật pháp
Ủy quyền liên bang, Sửa đổi hiến pháp, Phán quyết của Tòa án tối cao, (Ví dụ về) kiểm tra và cân bằng"
5,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Hiến pháp Hoa Kỳ được thay đổi như thế nào?,"Tu chánh án, Quy trình tu chính","Hiến pháp Hoa Kỳ có thể được thay đổi thông qua một quy trình sửa đổi chính thức. Điều này liên quan đến việc đề xuất bởi hai phần ba số phiếu của cả Hạ viện và Thượng viện hoặc bởi một hội nghị quốc gia được triệu tập bởi hai phần ba số cơ quan lập pháp tiểu bang. Sau khi được đề xuất, một sửa đổi phải được ba phần tư số tiểu bang phê chuẩn, thông qua cơ quan lập pháp của họ hoặc bởi các hội nghị. Quy trình nghiêm ngặt này được các Tổ phụ Sáng lập thiết kế để đảm bảo rằng Hiến pháp không dễ dàng bị thay đổi.","Lệnh hành pháp, Sắc lệnh tổng thống
Quyết định của Tòa án tối cao, Đánh giá tư pháp
Nghị quyết của Quốc hội, Đạo luật lập pháp"
6,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Tuyên ngôn Nhân quyền Hoa Kỳ bảo vệ điều gì?,"Các quyền (cơ bản) của công dân Hoa Kỳ, Các quyền (cơ bản) của những người sống ở Hoa Kỳ","Bản Tuyên ngôn Nhân quyền là mười sửa đổi đầu tiên của Hiến pháp Hoa Kỳ. Nó đảm bảo các quyền thiết yếu và quyền tự do dân sự cho các cá nhân, bảo vệ họ khỏi sự lạm dụng quyền lực của chính phủ. Câu trả lời chỉ ra rằng nó bảo vệ các quyền cơ bản của tất cả những người cư trú tại Hoa Kỳ.","(Các) nghĩa vụ (cơ bản) của công dân, (Các) trách nhiệm (cơ bản) của những người sống ở Hoa Kỳ
(Các) quyền hạn (cơ bản) của Tổng thống, (Các) quyền hạn (cơ bản) của chính phủ
(Các) luật (cơ bản) của đất nước, (Các) quy tắc (cơ bản) cho quân đội"
7,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Hiến pháp có bao nhiêu tu chính án? *,hai mươi bảy (27),"Hiến pháp Hoa Kỳ hiện có 27 sửa đổi. Những sửa đổi này là những thay đổi hoặc bổ sung cho văn bản gốc của Hiến pháp, được thiết kế để điều chỉnh chính phủ phù hợp với thời đại và giá trị đang thay đổi, đồng thời bảo tồn các nguyên tắc cốt lõi của nó. Mười sửa đổi đầu tiên được gọi chung là Tuyên ngôn Nhân quyền, đảm bảo các quyền tự do cá nhân cơ bản.","Hai mươi mốt (21)
Ba mươi ba (33)
Mười sáu (16)"
8,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Tại sao Tuyên ngôn Độc lập lại quan trọng?,"Nó xác định rằng Hoa Kỳ thoát khỏi sự kiểm soát của Anh Quốc., Nó chỉ ra tất cả mọi người đều sinh ra có quyền bình đẳng., Nó xác định các quyền vốn có., Nó xác định các quyền tự do cá nhân","Tuyên ngôn Độc lập là một văn kiện nền tảng của Hợp chủng quốc Hoa Kỳ. Nó tuyên bố các thuộc địa của Mỹ thoát khỏi sự cai trị của Anh, khẳng định rằng tất cả mọi người sinh ra đều bình đẳng với các quyền vốn có và phác thảo các quyền tự do cá nhân mà quốc gia mới sẽ bảo vệ.","Nó nói rằng Mỹ là một siêu cường toàn cầu., Nó nói tất cả mọi người phải đóng thuế., Nó xác định quyền hạn của chính phủ., Nó xác định trách nhiệm tập thể.
Nó nói Mỹ đã khám phá ra những vùng đất mới., Nó nói tất cả mọi người phải phục vụ trong quân đội., Nó xác định lợi thế kinh tế., Nó xác định thành tựu quốc gia.
Nó nói Mỹ là quốc gia mạnh nhất., Nó nói tất cả mọi người được bảo vệ khỏi sự tấn công của nước ngoài., Nó xác định các chiến lược quân sự., Nó xác định các kế hoạch phòng thủ quốc gia."
9,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Văn kiện thành lập nào cho biết các thuộc địa của Hoa Kỳ đã thoát khỏi Anh Quốc?,Tuyên ngôn Độc lập,"Bản Tuyên ngôn Độc lập là tài liệu thành lập của Hợp chủng quốc Hoa Kỳ, được thông qua vào ngày 4 tháng 7 năm 1776. Nó công bố và giải thích sự tách rời của các thuộc địa Mỹ khỏi Vương quốc Anh, tuyên bố rằng họ độc lập và tự do. Mục đích của nó là tập hợp những người thuộc địa, giành được các đồng minh nước ngoài và chính thức tuyên bố thành lập một quốc gia mới sau khi Chiến tranh Cách mạng Mỹ bắt đầu vào tháng 4 năm 1775.","Các Điều khoản Hợp bang
Hiến pháp Hợp chủng quốc Hoa Kỳ
Tuyên ngôn Nhân quyền"
10,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Kể tên hai ý tưởng quan trọng trong Tuyên ngôn Độc lập và Hiến pháp Hoa Kỳ.,"Bình đẳng, Tự do, Khế ước xã hội, Quyền căn bản tự nhiên, Nhà nước có quyền lực hạn chế, Tự quản","Những ý tưởng này là nền tảng của Tuyên ngôn Độc lập và Hiến pháp Hoa Kỳ, định hình hệ thống chính phủ Mỹ.  * Bình đẳng: Mọi cá nhân sinh ra đều bình đẳng và có các quyền như nhau.
  * Tự do: Tự do khỏi chính phủ áp bức và quyền đưa ra lựa chọn của riêng mình.
  * Khế ước xã hội: Ý tưởng rằng quyền lực của chính phủ đến từ sự đồng thuận của người dân.
  * Quyền tự nhiên: Các quyền vốn có ở tất cả mọi người, như quyền được sống, quyền tự do và quyền sở hữu tài sản (hoặc quyền mưu cầu hạnh phúc).
  * Chính phủ hạn chế: Quyền lực của chính phủ bị giới hạn bởi luật pháp để bảo vệ các quyền tự do cá nhân.
  * Tự quản: Người dân tự cai trị thông qua các đại diện được bầu.","Chủ nghĩa Cộng sản, Chế độ độc tài, Chế độ quân chủ
Chủ nghĩa toàn trị, Vô chính phủ, Chế độ phong kiến
Chủ nghĩa xã hội, Chế độ đầu sỏ, Chế độ thần quyền"
