Index,Category,SubCategory,Questions,Answers,rationale,Wrong
1,美国政府,美国政府原则,美国政府是什么政体？,"共和国, 基于宪法的联邦共和国, 民主代议制",背景：美国在一个旨在防止任何单一实体获得过多权力的体系下运作。解释：美国政府是共和制，这意味着公民选举代表。它也是一个基于宪法的联邦共和国，受成文宪法指导并在联邦和州政府之间分享权力。最后，它是一个代议制民主，人民投票选举个人代表他们做出决定。,"君主制, 共产主义独裁, 君主专制
直接民主, 寡头政治, 神权政治
议会制, 社会主义共和国, 极权主义国家"
2,美国政府,美国政府原则,美国最高层级法律为何？*,宪法,美国宪法是美国的最高法律。它是建立联邦政府框架并保障公民权利的基础性文件。所有其他法律，无论是地方、州还是联邦法律，都必须符合宪法。它取代了《邦联条例》，并于1787年在费城由制宪会议代表签署。,"(美国)独立宣言
(美国)国会
(美国)总统"
3,美国政府,美国政府原则,请写出一件美国宪法做的事。,"组建政府, 定义政府权力, 定义政府部门, 保护人民权利","美国宪法是美国的最高法律。它建立了联邦政府的框架并保障公民的权利。

简化答案：  - 它创建了政府的结构。
  - 它概述了政府能做什么和不能做什么。
  - 它定义了政府的不同部门。
  - 它保护个人自由和权利。","选举总统, 宣战, 控制所有州法律
印钞, 任命联邦法官, 授予赦免
修建道路, 建立学校, 征收所有税款"
4,美国政府,美国政府原则,美国宪法以“我们，人民”开头。“我们，人民”是什么意思？,"自治, 人民主权, 被统治者的同意, 人们应自我统治, 社会契约（示例）",“我们，人民”代表着政府权力来自于公民的理念。这一概念是美国民主的基础，意味着人民自己拥有治理的权力，政府的存立仅需获得他们的允许。,"政府监督, 总统法令, 司法审查, (示例)立法程序
行政权力, 国会授权, 州主权, 人民受法律管辖
联邦授权, 宪法修正案, 最高法院裁决, (示例)制衡"
5,美国政府,美国政府原则,美国宪法由哪些变动？,"修订, 修订过程",美国宪法可以通过正式的修正案程序进行修改。这包括众议院和参议院三分之二的投票，或者由三分之二州立法机关召开的全国性大会提出。一旦提出，修正案必须经四分之三的州批准，无论是通过其立法机关还是通过大会。开国元勋们设计这一严格的程序是为了确保宪法不易被修改。,"行政命令，总统令
最高法院裁决，司法审查
国会决议，立法行为"
6,美国政府,美国政府原则,权利法案保护了什么？,"美国人的（基本）权利, 生活在美国的人的（基本）权利",《权利法案》是美国宪法的前十条修正案。它保障个人的基本权利和公民自由，保护他们免受政府的过度干预。答案表明它维护了居住在美国的所有人的基本权利。,"公民的（基本）职责，生活在美国的人的（基本）责任
总统的（基本）权力，政府的（基本）权力
国家的（基本）法律，军队的（基本）规则"
7,美国政府,美国政府原则,宪法有多少条修订案？*,二十七条（27）,美国宪法目前有27条修正案。这些修正案是对宪法原文的修改或增补，旨在使政府适应不断变化的时代和价值观，同时保留其核心原则。前十条修正案统称为《权利法案》，它保障了基本的个人自由。,"二十一 (21)
三十三 (33)
十六 (16)"
8,美国政府,美国政府原则,《独立宣言》有什么重要性？,"它声明了美国不再由英国控制。, 它声明所有人生而平等。, 它强调人生来就有的权利。, 它强调人的自由",《独立宣言》是美国的一份基础性文件。它宣告了美国殖民地摆脱英国统治获得自由，申明所有人被平等创造并拥有天赋权利，并概述了新国家将保护的个人自由。,"它说美国是一个全球超级大国。, 它说所有人都要纳税。, 它识别政府权力。, 它识别集体责任。
它说美国发现了新土地。, 它说所有人都必须服兵役。, 它识别经济优势。, 它识别国家成就。
它说美国是最强大的国家。, 它说所有人都能免受外国攻击。, 它识别军事战略。, 它识别国防计划。"
9,美国政府,美国政府原则,哪一创始文件说美国殖民地摆脱了英国的统治？,《独立宣言》,《独立宣言》是美国的建国文献，于1776年7月4日通过。它宣布并解释了美国殖民地脱离英国的统治，声明他们是自由和独立的。其目的是在1775年4月美国独立战争爆发后，团结殖民者，争取外国盟友，并正式宣布建立一个新国家。,"* 邦联条例
  * 美国宪法
  * 权利法案"
10,美国政府,美国政府原则,从《独立宣言》和《美国宪法》中列举两个重要的思想。,"平等, 自由, 社会契约, 自然权利, 有限政府, 自治",这些思想是《独立宣言》和《美国宪法》的基础，塑造了美国政府体系。* 平等：所有人生而平等，拥有相同的权利。* 自由：免受压迫政府的自由，以及做出自己选择的权利。* 社会契约：政府的权力来自被统治者的同意。* 自然权利：所有人固有的权利，例如生命权、自由权和财产权（或追求幸福的权利）。* 有限政府：政府的权力受法律限制，以保护个人自由。* 自治：人民通过民选代表管理自己。,"共产主义, 独裁, 君主制, 极权主义, 无政府主义, 封建主义
社会主义, 寡头政治, 神权政治, 帝国主义, 殖民主义, 专制主义
法西斯主义, 威权主义, 民粹主义, 专制, 纳粹主义, 贵族政治"
