ID,DataName,ar
1,Question,ما هو القانون الأعلى في البلاد؟
1,Correct_Answer_1,الدستور
1,Correct_Rationale_1,الدستور هو القانون الأساسي والأعلى للحكومة الأمريكية.
1,Wrong_Answer_1,إعلان الاستقلال
1,Wrong_Rationale_1,"إعلان الاستقلال وثيقة مهمة أعلنت الاستقلال، لكنها ليست قانونًا."
1,Wrong_Answer_2,وثيقة الحقوق
1,Wrong_Rationale_2,"وثيقة الحقوق هي جزء من الدستور (أول 10 تعديلات)، وليست القانون الأعلى بالكامل."
1,Wrong_Answer_3,أوراق الفيدراليين
1,Wrong_Rationale_3,كانت أوراق الفيدراليين سلسلة من المقالات التي كُتبت لإقناع الناس بالتصديق على الدستور.
2,Question,ماذا يفعل الدستور؟
2,Correct_Answer_1,ينشئ الحكومة
2,Correct_Rationale_1,إحدى الوظائف الرئيسية للدستور هي إنشاء الحكومة وتحديدها.
2,Correct_Answer_2,يعرّف الحكومة
2,Correct_Rationale_2,يحدد الدستور صلاحيات ومسؤوليات كل فرع من فروع الحكومة.
2,Correct_Answer_3,يحمي الحقوق الأساسية للأمريكيين
2,Correct_Rationale_3,"عدة تعديلات، بما في ذلك وثيقة الحقوق، تحمي الحقوق الأساسية للمواطنين."
2,Wrong_Answer_1,"ينتخب الرئيس، يسن القوانين، يجمع الضرائب"
2,Wrong_Rationale_1,"يحدد الدستور عملية انتخاب الرئيس، لكنه لا ينتخب الرئيس بنفسه. القوانين يسنها الكونغرس، وليس الدستور مباشرة. جمع الضرائب هو سلطة يمنحها الدستور للكونغرس، وليس فعلًا يقوم به الدستور نفسه."
2,Wrong_Answer_2,"ينفذ القوانين، يقود الجيش، يتفاوض على المعاهدات"
2,Wrong_Rationale_2,"هذه هي سلطات الفرع التنفيذي التي يمنحها الدستور، لكنها ليست ما يقوم به الدستور نفسه."
2,Wrong_Answer_3,"يفسر القوانين، يحل النزاعات، يراجع القضايا القضائية"
2,Wrong_Rationale_3,"هذه وظائف السلطة القضائية التي أنشأها الدستور، لكنها ليست أفعالًا مباشرة للدستور نفسه."
3,Question,فكرة الحكم الذاتي موجودة في أول ثلاث كلمات من الدستور. ما هي هذه الكلمات؟
3,Correct_Answer_1,نحن الشعب
3,Correct_Rationale_1,هذه الكلمات ترمز إلى أن سلطة الحكومة تأتي من الشعب.
3,Wrong_Answer_1,أربعون سنة و
3,Wrong_Rationale_1,هذا هو بداية خطاب لنكولن في جيتيسبيرغ.
3,Wrong_Answer_2,يجب على الكونغرس أن يسن
3,Wrong_Rationale_2,هذه عبارة من المادة الأولى من الدستور.
3,Wrong_Answer_3,أتعهد بالولاء
3,Wrong_Rationale_3,هذا هو بداية قسم الولاء.
4,Question,ما هو التعديل؟
4,Correct_Answer_1,تغيير
4,Correct_Rationale_1,التعديل هو تغيير في الدستور.
4,Correct_Answer_2,إضافة
4,Correct_Rationale_2,التعديل هو إضافة إلى الدستور.
4,Wrong_Answer_1,"قانون جديد، قرار من المحكمة العليا"
4,Wrong_Rationale_1,"يتم إنشاء قانون جديد من قبل الكونغرس وهو يختلف عن التعديل الذي يغير الدستور نفسه. قرار من المحكمة العليا يفسر القانون، لكنه لا يغير نص الدستور مباشرة."
4,Wrong_Answer_2,"معاهدة، اتفاق تنفيذي"
4,Wrong_Rationale_2,المعاهدة هي اتفاق دولي يتطلب موافقة مجلس الشيوخ ولكنه لا يغير الدستور. الاتفاق التنفيذي يقوم به الرئيس مع الدول الأجنبية دون موافقة مجلس الشيوخ.
4,Wrong_Answer_3,"قانون ولاية، لائحة اتحادية"
4,Wrong_Rationale_3,"قانون الولاية ينطبق فقط داخل تلك الولاية ولا يمكنه تغيير الدستور الفيدرالي. اللائحة الفيدرالية هي قاعدة تضعها الوكالات الفيدرالية لتنفيذ القوانين، لكنها لا تستطيع تعديل الدستور."
5,Question,ماذا نسمي التعديلات العشرة الأولى على الدستور؟
5,Correct_Answer_1,وثيقة الحقوق
5,Correct_Rationale_1,هذه التعديلات العشرة تضمن الحقوق والحريات الفردية الأساسية.
5,Wrong_Answer_1,إعلان الاستقلال
5,Wrong_Rationale_1,"إعلان الاستقلال، من عام 1776، أعلن الاستقلال وليس مجموعة من التعديلات الدستورية."
5,Wrong_Answer_2,أوراق الفيدراليين
5,Wrong_Rationale_2,كانت أوراق الفيدراليين سلسلة من المقالات التي كُتبت لإقناع الناس بالتصديق على الدستور.
5,Wrong_Answer_3,إعلان تحرير العبيد
5,Wrong_Rationale_3,كان إعلان تحرير العبيد أمرًا تنفيذيًا أصدره لنكولن حرر العبيد في الكونفدرالية.
6,Question,ما هو أحد الحقوق أو الحريات من التعديل الأول؟
6,Correct_Answer_1,حرية الدين
6,Correct_Rationale_1,يحظر التعديل الأول على الحكومة التدخل في اختيار الفرد لدينه.
6,Correct_Answer_2,حرية التعبير
6,Correct_Rationale_2,يحظر التعديل الأول على الحكومة قمع التعبير الفردي بشكل غير مبرر.
6,Correct_Answer_3,حرية التجمع
6,Correct_Rationale_3,للناس الحق في التجمع سلمياً ومشاركة آرائهم.
6,Correct_Answer_4,حرية الصحافة
6,Correct_Rationale_4,هذا هو الحق في طباعة وتوزيع المعلومات دون رقابة حكومية مسبقة.
6,Correct_Answer_5,حرية تقديم العرائض للحكومة
6,Correct_Rationale_5,للمواطنين الحق في طلب تغييرات في سياسة الحكومة.
6,Wrong_Answer_1,"الحق في التصويت، الحق في حمل السلاح، الحق في الإجراءات القانونية الواجبة، الحق في الحماية المتساوية، الحق في الخصوصية"
6,Wrong_Rationale_1,"الحق في التصويت محمي بتعديلات أخرى (15 و19 و26)، وليس الأول. الحق في حمل السلاح محمي بالتعديل الثاني. الإجراءات القانونية الواجبة مضمونة بالتعديلين الخامس والرابع عشر. الحماية المتساوية منصوص عليها في التعديل الرابع عشر. حقوق الخصوصية مستمدة من تعديلات مختلفة ولكن لم تُذكر صراحة في الأول."
6,Wrong_Answer_2,"الحق في المحاكمة أمام هيئة محلفين، الحق في عدم تجريم الذات، الحق في الاستعانة بمحام، الحق في المحاكمة السريعة، الحق في مواجهة الشهود"
6,Wrong_Rationale_2,"كل هذه حقوق مكفولة بالتعديلات 6 و7 و8 المتعلقة بالعدالة الجنائية والإجراءات القانونية، وليس التعديل الأول الذي يركز على الحريات الأساسية للتعبير والمعتقد."
6,Wrong_Answer_3,"الحق في السفر بين الولايات، الحق في الزواج، الحق في العمل، الحق في التعليم، الحق في الرعاية الصحية"
6,Wrong_Rationale_3,السفر بين الولايات منصوص عليه ضمنًا في الدستور ولكن ليس في التعديل الأول. حقوق الزواج مستمدة من تفسيرات قضائية مختلفة. حقوق العمل والتعليم والرعاية الصحية ليست مكفولة صراحة في الدستور وبالتأكيد ليست في التعديل الأول.
7,Question,كم عدد التعديلات التي يحتويها الدستور؟
7,Correct_Answer_1,سبعة وعشرون (27)
7,Correct_Rationale_1,"بعد وثيقة الحقوق في عام 1791، أضيف 17 تعديلًا آخر، ليصبح المجموع 27."
7,Wrong_Answer_1,عشرة (10)
7,Wrong_Rationale_1,عشرة هو عدد التعديلات في وثيقة الحقوق.
7,Wrong_Answer_2,خمسون (50)
7,Wrong_Rationale_2,خمسون هو عدد الولايات في الولايات المتحدة.
7,Wrong_Answer_3,ثلاثة عشر (13)
7,Wrong_Rationale_3,ثلاثة عشر هو عدد المستعمرات الأصلية (الولايات) عند تأسيس الولايات المتحدة.
8,Question,ماذا فعل إعلان الاستقلال؟
8,Correct_Answer_1,أعلن استقلالنا (عن بريطانيا العظمى)
8,Correct_Rationale_1,أعلن للعالم أن المستعمرات لم تعد تحت الحكم البريطاني.
8,Correct_Answer_2,أعلن استقلالنا (عن بريطانيا العظمى)
8,Correct_Rationale_2,أعلن الإعلان رسمياً استقلال المستعمرات عن الحكم البريطاني.
8,Correct_Answer_3,قال إن الولايات المتحدة حرة (من بريطانيا العظمى)
8,Correct_Rationale_3,أعلن الإعلان أن الولايات المتحدة كانت أمة حرة ومستقلة.
8,Wrong_Answer_1,منح النساء حق التصويت
8,Wrong_Rationale_1,"منح حق التصويت للنساء بموجب التعديل التاسع عشر، الذي تم التصديق عليه في عام 1920."
8,Wrong_Answer_2,حرر العبيد
8,Wrong_Rationale_2,تم تحرير العبيد بإعلان تحرير العبيد الصادر عن لنكولن عام 1863 ولاحقًا بالتعديل الثالث عشر.
8,Wrong_Answer_3,أنشأ الدستور
8,Wrong_Rationale_3,"تم إنشاء الدستور لاحقًا، في المؤتمر الدستوري عام 1787."
9,Question,ما هما الحقّان المذكوران في إعلان الاستقلال؟
9,Correct_Answer_1,الحياة
9,Correct_Rationale_1,الحياة هي أحد الحقوق الثلاثة غير القابلة للتصرف المذكورة في إعلان الاستقلال.
9,Correct_Answer_2,الحرية
9,Correct_Rationale_2,الحرية هي أحد الحقوق الثلاثة غير القابلة للتصرف المذكورة في إعلان الاستقلال.
9,Correct_Answer_3,السعي وراء السعادة
9,Correct_Rationale_3,السعي وراء السعادة هو أحد الحقوق الثلاثة غير القابلة للتصرف المذكورة في إعلان الاستقلال.
9,Wrong_Answer_1,حرية التعبير والدين
9,Wrong_Rationale_1,حرية التعبير والدين هي حقوق مذكورة في وثيقة الحقوق (التعديل الأول).
9,Wrong_Answer_2,الحق في التصويت والترشح للمناصب
9,Wrong_Rationale_2,"هذه حقوق مهمة للمواطنين الأمريكيين، لكنها محددة بالدستور وليس بإعلان الاستقلال."
9,Wrong_Answer_3,الحق في امتلاك الممتلكات والتعليم
9,Wrong_Rationale_3,"هذه حقوق مهمة، لكنها ليست الحقوق الأساسية الثلاثة غير القابلة للتصرف المذكورة في الإعلان."
10,Question,ما هي حرية الدين؟
10,Correct_Answer_1,يمكنك ممارسة أي دين أو عدم ممارسة أي دين
10,Correct_Rationale_1,"الولايات المتحدة ليس لديها دين رسمي، ولا يمكن للحكومة التدخل في اختيار الفرد."
10,Wrong_Answer_1,يمكنك فقط ممارسة الديانة المسيحية
10,Wrong_Rationale_1,الولايات المتحدة ليس لديها دين رسمي وتضمن الحرية لجميع الأديان أو لعدم اعتناق أي دين.
10,Wrong_Answer_2,يجب أن تمارس دينًا توافق عليه الحكومة
10,Wrong_Rationale_2,"هذا غير صحيح؛ لا يلزم الحصول على موافقة الحكومة، وسيؤدي ذلك إلى انتهاك مبدأ حرية الدين."
10,Wrong_Answer_3,يجب أن تدفع ضريبة على أنشطتك الدينية
10,Wrong_Rationale_3,"الأنشطة الدينية معفاة عمومًا من الضرائب، لأن فرض الضرائب عليها قد يقمع حرية الدين."
11,Question,ما هو النظام الاقتصادي في الولايات المتحدة؟
11,Correct_Answer_1,اقتصاد رأسمالي
11,Correct_Rationale_1,تعمل الولايات المتحدة في ظل اقتصاد رأسمالي قائم على الملكية الخاصة والأسواق الحرة.
11,Correct_Answer_2,اقتصاد السوق
11,Correct_Rationale_2,"الاقتصاد السوقي، حيث تحدد الأسعار من خلال العرض والطلب، يصف أيضًا النظام الاقتصادي الأمريكي."
11,Wrong_Answer_1,"اقتصاد اشتراكي، اقتصاد شيوعي"
11,Wrong_Rationale_1,"الاقتصاد الاشتراكي يتضمن ملكية الدولة أو المجتمع لوسائل الإنتاج، وهو يختلف عن نموذج الملكية الخاصة في الولايات المتحدة. الاقتصاد الشيوعي يتميز بالملكية المشتركة والسيطرة الكاملة للدولة على الإنتاج والتوزيع، وهو عكس نظام السوق الحرة الأميركي."
11,Wrong_Answer_2,"اقتصاد تجاري، اقتصاد إقطاعي"
11,Wrong_Rationale_2,"كان المذهب التجاري سياسة أوروبية في القرنين السادس عشر إلى الثامن عشر حيث كانت الدولة تتحكم في التجارة لتجميع الثروة، على عكس النهج الأميركي في التجارة الحرة. الاقتصاد الإقطاعي كان قائمًا على ملكية الأراضي والالتزامات بالعمل الزراعي، وهو مختلف جذريًا عن الأنظمة الرأسمالية الحديثة."
11,Wrong_Answer_3,"اقتصاد موجّه، اقتصاد مخطّط"
11,Wrong_Rationale_3,"الاقتصاد الموجّه تتحكم به الحكومة بالكامل، حيث تقرر ما الذي يتم إنتاجه وتوزيعه، على عكس النظام الأميركي القائم على السوق. الاقتصاد المخطّط يتضمن تخطيط الحكومة المركزية لكل النشاط الاقتصادي، مما يتناقض مع النظام الأميركي حيث تحدد قوى السوق القرارات الاقتصادية."
12,Question,"ما هو ""سيادة القانون""؟"
12,Correct_Answer_1,يجب على الجميع اتباع القانون
12,Correct_Rationale_1,سيادة القانون هي المبدأ الذي يخضع فيه جميع الأشخاص للقانون ويحاسبون بموجبه بغض النظر عن وضعهم.
12,Correct_Answer_2,يجب على القادة الالتزام بالقانون
12,Correct_Rationale_2,"قادة الحكومة، بمن فيهم الرئيس، يخضعون أيضًا لسيادة القانون."
12,Correct_Answer_3,لا أحد فوق القانون
12,Correct_Rationale_3,هذه العبارة تلخص بشكل أفضل المبدأ الأساسي لسيادة القانون.
12,Correct_Answer_4,يجب على الحكومة الالتزام بالقانون
12,Correct_Rationale_4,الحكومة نفسها مقيدة أيضًا بالقانون ولا يمكنها التصرف خارج سلطتها القانونية.
12,Wrong_Answer_1,"القوانين تتغير دائمًا، الرئيس يضع القانون، جميع القوانين عادلة"
12,Wrong_Rationale_1,"رغم أن القوانين يمكن أن تتغير، إلا أن هذا ليس تعريف سيادة القانون. الكونغرس يسن القوانين والرئيس ينفذها. هذا هو مبدأ فصل السلطات. تسعى سيادة القانون إلى تحقيق العدالة، لكنها لا تضمن أن تكون كل القوانين عادلة تمامًا."
12,Wrong_Answer_2,"المواطنون فقط هم من يتبعون القوانين، القوانين تطبق بشكل مختلف على الأغنياء، المسؤولون الحكوميون معفيون من القوانين"
12,Wrong_Rationale_2,"هذه التصريحات تتعارض مع سيادة القانون، التي تتطلب أن يخضع جميع الأشخاص، بغض النظر عن وضعهم أو ثروتهم، لنفس القوانين."
12,Wrong_Answer_3,"القوانين مجرد اقتراحات، يمكن للناس اختيار القوانين التي يلتزمون بها، القوانين تطبق فقط في حالات الطوارئ"
12,Wrong_Rationale_3,"هذه التصريحات تسيء فهم الطبيعة الملزمة للقوانين بموجب مبدأ سيادة القانون، حيث تكون القوانين إلزامية وتطبق على الجميع في جميع الأوقات."
13,Question,اذكر فرعًا أو جزءًا من الحكومة.
13,Correct_Answer_1,الكونغرس (التشريعي)
13,Correct_Rationale_1,الكونغرس هو الفرع التشريعي الذي يسن القوانين.
13,Correct_Answer_2,الرئيس (التنفيذي)
13,Correct_Rationale_2,الرئيس هو رئيس الفرع التنفيذي الذي ينفذ القوانين.
13,Correct_Answer_3,المحاكم (القضائي)
13,Correct_Rationale_3,المحاكم هي الفرع القضائي الذي يفسر ويطبق القوانين.
13,Wrong_Answer_1,"الولايات، الجيش، الشرطة"
13,Wrong_Rationale_1,"الولايات جزء أساسي من النظام الفيدرالي، لكنها ليست واحدة من الفروع الثلاثة للحكومة الفيدرالية. الجيش مؤسسة حيوية تسيطر عليها السلطة التنفيذية، لكنه ليس فرعًا منفصلًا من الحكومة. الشرطة هي وكالات لإنفاذ القانون، وعادةً ما تكون تحت إدارة الحكومة المحلية أو حكومة الولاية."
13,Wrong_Answer_2,"مجلس الوزراء، مجلس الشيوخ، مجلس النواب"
13,Wrong_Rationale_2,"مجلس الوزراء جزء من الفرع التنفيذي، في حين أن مجلس الشيوخ ومجلس النواب هما جزءان من الفرع التشريعي، وليسا فرعين منفصلين بحد ذاتهما."
13,Wrong_Answer_3,"مكتب التحقيقات الفيدرالي، وكالة الاستخبارات المركزية، المحكمة العليا"
13,Wrong_Rationale_3,"مكتب التحقيقات الفيدرالي ووكالة الاستخبارات المركزية هما وكالتان داخل الفرع التنفيذي، بينما المحكمة العليا هي جزء من الفرع القضائي، وليسا فروعًا منفصلة من الحكومة."
14,Question,ما الذي يمنع فرعًا من الحكومة من أن يصبح قويًا جدًا؟
14,Correct_Answer_1,الضوابط والتوازنات
14,Correct_Rationale_1,هذا هو النظام الذي يمكن فيه لكل فرع مراجعة سلطات الفروع الأخرى وتقييدها.
14,Correct_Answer_2,فصل السلطات
14,Correct_Rationale_2,هذا هو مبدأ تقسيم السلطة الحكومية بين السلطات التشريعية والتنفيذية والقضائية.
14,Wrong_Answer_1,"سيادة القانون، الفيدرالية"
14,Wrong_Rationale_1,"سيادة القانون تساعد على منع إساءة استخدام السلطة لكنها ليست النظام المحدد الذي يمنع فرعًا من أن يصبح قويًا جدًا. الفيدرالية هي مبدأ تقاسم السلطة بين الحكومة الفيدرالية وحكومات الولايات، وليس بين الفروع الثلاثة للحكومة. ولا يعالج أي منهما مباشرة الآلية الدستورية لمنع أي فرع واحد من السيطرة على الآخرين."
14,Wrong_Answer_2,"تحديد مدة الولاية، الانتخابات"
14,Wrong_Rationale_2,"تحديد مدة الولاية والانتخابات هي آليات ديمقراطية يمكن أن تحد من سلطة الحكومة وتوفر المساءلة، لكنها ليست النظام الدستوري المصمم خصيصًا لمنع أي فرع من الحكومة من أن يصبح قويًا جدًا من خلال الرقابة المتبادلة والتقييد."
14,Wrong_Answer_3,"وثيقة الحقوق، العزل"
14,Wrong_Rationale_3,"وثيقة الحقوق تحمي الحريات الفردية من تجاوزات الحكومة لكنها لا تعالج مباشرة توازن القوى بين الفروع. العزل هو آلية محددة لإزالة المسؤولين بسبب سوء السلوك، لكنه ليس النظام الأوسع الذي يمنع هيمنة فرع واحد من خلال الضوابط المتبادلة المستمرة."
15,Question,من المسؤول عن الفرع التنفيذي؟
15,Correct_Answer_1,الرئيس
15,Correct_Rationale_1,الرئيس هو رئيس الفرع التنفيذي.
15,Wrong_Answer_1,رئيس مجلس النواب
