ID,DataName,fr,
1,Question,Quelle est la loi suprême du pays ?,
1,Correct_Answer_1,la Constitution,
1,Correct_Rationale_1,La Constitution est la loi fondamentale et suprême du gouvernement des États-Unis.,
1,Wrong_Answer_1,la Déclaration d'indépendance,
1,Wrong_Rationale_1,"La Déclaration d'indépendance est un document crucial qui a déclaré l'indépendance, mais ce n'est pas une loi.",
1,Wrong_Answer_2,la Déclaration des droits,
1,Wrong_Rationale_2,"La Déclaration des droits fait partie de la Constitution (les 10 premiers amendements), pas toute la loi suprême.",
1,Wrong_Answer_3,les Papiers fédéralistes,
1,Wrong_Rationale_3,Les Papiers fédéralistes étaient une série d'essais écrits pour persuader les gens de ratifier la Constitution.,
2,Question,Que fait la Constitution ?,
2,Correct_Answer_1,établit le gouvernement,
2,Correct_Rationale_1,L'une des principales fonctions de la Constitution est d'établir et de définir le gouvernement.,
2,Correct_Answer_2,définit le gouvernement,
2,Correct_Rationale_2,La Constitution précise les pouvoirs et responsabilités de chaque branche du gouvernement.,
2,Correct_Answer_3,protège les droits fondamentaux des Américains,
2,Correct_Rationale_3,"Plusieurs amendements, y compris la Déclaration des droits, protègent les droits fondamentaux des citoyens.",
2,Wrong_Answer_1,"élit le président, fait les lois, perçoit les impôts",
2,Wrong_Rationale_1,"La Constitution décrit le processus d'élection d'un président, mais elle n'élit pas le président elle-même. Les lois sont faites par le Congrès, non directement par la Constitution. La perception des impôts est un pouvoir accordé au Congrès par la Constitution, et non une action de la Constitution elle-même.",
2,Wrong_Answer_2,"applique les lois, commande l'armée, négocie des traités",
2,Wrong_Rationale_2,"Ce sont des pouvoirs de l'exécutif qui sont accordés par la Constitution, mais ce n'est pas ce que fait la Constitution elle-même.",
2,Wrong_Answer_3,"interprète les lois, résout les différends, examine les affaires judiciaires",
2,Wrong_Rationale_3,"Ce sont des fonctions du pouvoir judiciaire établies par la Constitution, mais elles ne sont pas des actions directes de la Constitution elle-même.",
3,Question,L'idée d'autonomie gouvernementale se trouve dans les trois premiers mots de la Constitution. Quels sont ces mots ?,
3,Correct_Answer_1,"Nous, le peuple",
3,Correct_Rationale_1,Ces mots symbolisent que le pouvoir du gouvernement vient du peuple.,
3,Wrong_Answer_1,Quatre-vingts et,
3,Wrong_Rationale_1,Ceci est le début du discours de Gettysburg de Lincoln.,
3,Wrong_Answer_2,Le Congrès fera,
3,Wrong_Rationale_2,C'est une phrase de l'article I de la Constitution.,
3,Wrong_Answer_3,Je fais serment d'allégeance,
3,Wrong_Rationale_3,Ceci est le début du serment d'allégeance.,
4,Question,Qu'est-ce qu'un amendement ?,
4,Correct_Answer_1,un changement,
4,Correct_Rationale_1,Un amendement est un changement à la Constitution.,
4,Correct_Answer_2,un ajout,
4,Correct_Rationale_2,Un amendement est un ajout à la Constitution.,
4,Wrong_Answer_1,"une nouvelle loi, une décision de la Cour suprême",
4,Wrong_Rationale_1,"Une nouvelle loi est créée par le Congrès et est différente d'un amendement, qui modifie la Constitution elle-même. Une décision de la Cour suprême interprète la loi, mais ne change pas directement le texte de la Constitution.",
4,Wrong_Answer_2,"un traité, un accord exécutif",
4,Wrong_Rationale_2,Un traité est un accord international qui nécessite l'approbation du Sénat mais ne modifie pas la Constitution. Un accord exécutif est conclu par le président avec des nations étrangères sans l'approbation du Sénat.,
4,Wrong_Answer_3,"une loi d'État, un règlement fédéral",
4,Wrong_Rationale_3,"Une loi d'État s'applique uniquement dans cet État et ne peut pas modifier la Constitution fédérale. Un règlement fédéral est une règle établie par des agences fédérales pour mettre en œuvre les lois, mais il ne peut pas modifier la Constitution.",
5,Question,Comment appelons-nous les dix premiers amendements à la Constitution ?,
5,Correct_Answer_1,la Déclaration des droits,
5,Correct_Rationale_1,Ces dix amendements garantissent des droits et libertés individuels fondamentaux.,
5,Wrong_Answer_1,la Déclaration d'indépendance,
5,Wrong_Rationale_1,"La Déclaration d'indépendance, de 1776, a déclaré l'indépendance et n'est pas un ensemble d'amendements constitutionnels.",
5,Wrong_Answer_2,les Papiers fédéralistes,
5,Wrong_Rationale_2,Les Papiers fédéralistes étaient une série d'essais écrits pour persuader les gens de ratifier la Constitution.,
5,Wrong_Answer_3,la Proclamation d'émancipation,
5,Wrong_Rationale_3,La Proclamation d'émancipation était un ordre exécutif de Lincoln qui a libéré les esclaves dans la Confédération.,
6,Question,Quel est un droit ou une liberté du Premier Amendement ?,
6,Correct_Answer_1,liberté de religion,
6,Correct_Rationale_1,Le Premier Amendement interdit au gouvernement d'interférer avec le choix religieux d'un individu.,
6,Correct_Answer_2,liberté d'expression,
6,Correct_Rationale_2,Le Premier Amendement interdit au gouvernement de supprimer indûment l'expression individuelle.,
6,Correct_Answer_3,liberté de réunion,
6,Correct_Rationale_3,Les gens ont le droit de se rassembler pacifiquement et de partager leurs opinions.,
6,Correct_Answer_4,liberté de la presse,
6,Correct_Rationale_4,C'est le droit d'imprimer et de distribuer des informations sans censure préalable du gouvernement.,
6,Correct_Answer_5,liberté de pétitionner le gouvernement,
6,Correct_Rationale_5,Les citoyens ont le droit de demander des changements dans la politique gouvernementale.,
6,Wrong_Answer_1,"le droit de vote, le droit de porter des armes, le droit au processus équitable, le droit à la protection égale, le droit à la vie privée",
6,Wrong_Rationale_1,"Le droit de vote est protégé par d'autres amendements (15e, 19e, 26e), pas par le Premier. Le droit de porter des armes est protégé par le Deuxième Amendement. Le processus équitable est garanti par les 5e et 14e Amendements. La protection égale est fournie par le 14e Amendement. Les droits à la vie privée sont dérivés de divers amendements mais ne sont pas explicitement énoncés dans le Premier.",
