ID,DataName,zh,
1,Question,国家最高的法律是什么？,
1,Correct_Answer_1,宪法,
1,Correct_Rationale_1,宪法是美国政府的根本大法和最高法律。,
1,Wrong_Answer_1,独立宣言,
1,Wrong_Rationale_1,独立宣言是宣告独立的重要文件，但它不是法律。,
1,Wrong_Answer_2,权利法案,
1,Wrong_Rationale_2,权利法案是宪法的一部分（前十条修正案），不是全部最高法律。,
1,Wrong_Answer_3,联邦党人文集,
1,Wrong_Rationale_3,联邦党人文集是一系列为了说服人们批准宪法而写的文章。,
2,Question,宪法的作用是什么？,
2,Correct_Answer_1,建立政府,
2,Correct_Rationale_1,宪法的主要职能之一是建立并界定政府。,
2,Correct_Answer_2,定义政府,
2,Correct_Rationale_2,宪法规定了政府各部门的权力和职责。,
2,Correct_Answer_3,保护美国人的基本权利,
2,Correct_Rationale_3,包括《权利法案》在内的若干修正案保护公民的基本权利。,
2,Wrong_Answer_1,选举总统、制定法律、征收税款,
2,Wrong_Rationale_1,宪法规定了选举总统的程序，但它本身并不选总统。法律由国会制定，而不是宪法直接制定。征税是宪法授予国会的权力，而不是宪法本身的行为。,
2,Wrong_Answer_2,执行法律、指挥军队、谈判条约,
2,Wrong_Rationale_2,这些是宪法授予行政部门的权力，但不是宪法本身所做的事情。,
2,Wrong_Answer_3,解释法律、解决争端、审查案件,
2,Wrong_Rationale_3,这些是宪法设立的司法部门的职能，但不是宪法本身的直接行为。,
3,Question,自治的理念体现在宪法的前三个词中。这三个词是什么？,
3,Correct_Answer_1,我们人民,
3,Correct_Rationale_1,这些词象征着政府的权力来自人民。,
3,Wrong_Answer_1,四十年与,
3,Wrong_Rationale_1,这是林肯的葛底斯堡演说的开头。,
3,Wrong_Answer_2,国会应当制定,
3,Wrong_Rationale_2,这是宪法第一条中的一句话。,
3,Wrong_Answer_3,我宣誓效忠,
3,Wrong_Rationale_3,这是效忠誓言的开头。,
4,Question,什么是修正案？,
4,Correct_Answer_1,一项更改,
4,Correct_Rationale_1,修正案是对宪法的修改。,
4,Correct_Answer_2,一项补充,
4,Correct_Rationale_2,修正案是对宪法的补充。,
4,Wrong_Answer_1,一项新法律，一项最高法院裁决,
4,Wrong_Rationale_1,新法律由国会制定，与修正案不同，修正案会改变宪法本身。最高法院的裁决解释法律，但不会直接改变宪法的文本。,
4,Wrong_Answer_2,条约、行政协定,
4,Wrong_Rationale_2,条约是一项需要参议院批准但不会改变宪法的国际协议。行政协定是总统在未经参议院批准的情况下与外国签订的。,
4,Wrong_Answer_3,州法律、联邦法规,
4,Wrong_Rationale_3,州法律仅适用于该州，不能更改联邦宪法。联邦法规是由联邦机构制定以执行法律的规则，但不能修改宪法。,
5,Question,我们称宪法的前十条修正案为什么？,
5,Correct_Answer_1,权利法案,
5,Correct_Rationale_1,这十条修正案保障了核心的个人权利和自由。,
5,Wrong_Answer_1,独立宣言,
5,Wrong_Rationale_1,1776年的《独立宣言》宣布了独立，但它不是宪法修正案的集合。,
5,Wrong_Answer_2,联邦党人文集,
5,Wrong_Rationale_2,《联邦党人文集》是一系列为了说服人们批准宪法而写的文章。,
5,Wrong_Answer_3,《解放黑奴宣言》,
5,Wrong_Rationale_3,《解放黑奴宣言》是林肯发布的行政命令，解放了南部邦联的奴隶。,
6,Question,第一修正案保障的权利或自由之一是什么？,
6,Correct_Answer_1,宗教自由,
6,Correct_Rationale_1,第一修正案禁止政府干涉个人的宗教选择。,
6,Correct_Answer_2,言论自由,
6,Correct_Rationale_2,第一修正案禁止政府不当压制个人表达。,
6,Correct_Answer_3,集会自由,
6,Correct_Rationale_3,人们有权和平集会并分享他们的意见。,
6,Correct_Answer_4,新闻自由,
6,Correct_Rationale_4,这是在不受政府事先审查的情况下印刷和分发信息的权利。,
6,Correct_Answer_5,向政府请愿的自由,
6,Correct_Rationale_5,公民有权要求政府政策的改变。,
6,Wrong_Answer_1,投票权、持枪权、正当程序权、平等保护权、隐私权,
6,Wrong_Rationale_1,投票权受其他修正案（第15、19、26条）的保护，而非第一修正案。持枪权受第二修正案保护。正当程序权由第五和第十四修正案保障。平等保护权由第十四修正案提供。隐私权源自多个修正案，但并未在第一修正案中明确规定。,
6,Wrong_Answer_2,由陪审团审判的权利、免于自证其罪的权利、有律师辩护的权利、快速审判的权利、质对证人的权利,
6,Wrong_Rationale_2,这些都是第六、第七和第八修正案保障的与刑事司法和法律程序有关的权利，而不是第一修正案保障的基本言论和信仰自由。,
6,Wrong_Answer_3,跨州旅行权、结婚权、工作权、受教育权、医疗保健权,
6,Wrong_Rationale_3,,
7,Question,宪法有多少条修正案？,
7,Correct_Answer_1,二十七（27）,
7,Correct_Rationale_1,在1791年的《权利法案》之后，又增加了17条，总共27条。,
7,Wrong_Answer_1,十（10）,
7,Wrong_Rationale_1,十是《权利法案》中的修正案数量。,
7,Wrong_Answer_2,五十（50）,
7,Wrong_Rationale_2,五十是美国的州数。,
7,Wrong_Answer_3,十三（13）,
7,Wrong_Rationale_3,十三是美国成立时的原始殖民地（州）数量。,
8,Question,《独立宣言》做了什么？,
8,Correct_Answer_1,宣布我们脱离大不列颠独立,
8,Correct_Rationale_1,向全世界宣布殖民地不再受英国统治。,
8,Correct_Answer_2,宣告我们脱离大不列颠独立,
8,Correct_Rationale_2,宣言正式宣布殖民地脱离英国统治而独立。,
8,Correct_Answer_3,表示美国自由了（脱离大不列颠）,
8,Correct_Rationale_3,宣言指出美国是一个自由独立的国家。,
8,Wrong_Answer_1,赋予妇女投票权,
8,Wrong_Rationale_1,妇女的投票权是由1920年批准的第十九条修正案赋予的。,
8,Wrong_Answer_2,解放奴隶,
8,Wrong_Rationale_2,奴隶是由林肯在1863年的《解放奴隶宣言》以及后来的第十三条修正案解放的。,
8,Wrong_Answer_3,制定宪法,
8,Wrong_Rationale_3,宪法是在1787年的制宪会议上后来制定的。,
9,Question,《独立宣言》中列出的两项权利是什么？,
9,Correct_Answer_1,生命,
9,Correct_Rationale_1,生命是《独立宣言》中列出的三项不可剥夺的权利之一。,
9,Correct_Answer_2,自由,
9,Correct_Rationale_2,自由是《独立宣言》中列出的三项不可剥夺的权利之一。,
9,Correct_Answer_3,追求幸福,
9,Correct_Rationale_3,追求幸福是《独立宣言》中列出的三项不可剥夺的权利之一。,
9,Wrong_Answer_1,言论和宗教自由,
9,Wrong_Rationale_1,言论和宗教自由是《权利法案》（第一修正案）中列出的权利。,
9,Wrong_Answer_2,投票和竞选公职的权利,
9,Wrong_Rationale_2,这些是美国公民的重要权利，但它们由宪法规定，而不是《独立宣言》。,
9,Wrong_Answer_3,拥有财产和受教育的权利,
9,Wrong_Rationale_3,这些是重要权利，但不是《独立宣言》中提到的三项核心不可剥夺的权利。,
10,Question,宗教自由是什么？,
10,Correct_Answer_1,你可以信仰任何宗教，也可以不信仰宗教,
10,Correct_Rationale_1,美国没有国教，政府不能干涉个人的选择。,
10,Wrong_Answer_1,你只能信仰基督教,
10,Wrong_Rationale_1,美国没有官方国教，并保障所有宗教或无宗教的自由。,
10,Wrong_Answer_2,你必须信仰政府批准的宗教,
10,Wrong_Rationale_2,这是不正确的；不需要政府批准，否则会违反宗教自由原则。,
10,Wrong_Answer_3,你必须为你的宗教活动缴税,
10,Wrong_Rationale_3,宗教活动通常免税，因为征税可能会限制宗教自由。,
11,Question,美国的经济制度是什么？,
11,Correct_Answer_1,资本主义经济,
