KEY,DataName,Value
idx_0,title_en,Explanation
idx_0,intent_en,Asks for your full legal name as it appears on official documents.
idx_0,answer_guidance_en,"State your full legal name (first, middle, last). If different on documents, clarify as asked."
idx_1,title_en,Explanation
idx_1,intent_en,"Asks if you have used any other names (aliases, maiden name, previous legal names)."
idx_1,answer_guidance_en,Answer Yes if you have used any other names and list them; otherwise No.
idx_2,title_en,Explanation
idx_2,intent_en,Requests your date of birth to confirm identity and eligibility.
idx_2,answer_guidance_en,State your full date of birth (MM/DD/YYYY) as on your official documents.
idx_3,title_en,Explanation
idx_3,intent_en,Asks for your current residential address for correspondence and jurisdiction.
idx_3,answer_guidance_en,"Provide your current physical address. If recently moved, be consistent with your application."
idx_4,title_en,Explanation
idx_4,intent_en,Verifies 5-year residence history continuity at your current address.
idx_4,answer_guidance_en,Answer Yes only if you lived there continuously for the last 5 years; otherwise No and be ready to list prior addresses.
idx_5,title_en,Explanation
idx_5,intent_en,Checks trips outside the U.S. in the last 5 years for continuous residence and physical presence analysis.
idx_5,answer_guidance_en,"Answer Yes if you took any trips abroad; be ready to provide dates, length, and destinations."
idx_6,title_en,Explanation
idx_6,intent_en,"Determines if any single trip lasted more than 6 months, which may disrupt continuous residence."
idx_6,answer_guidance_en,Answer Yes if any single trip exceeded 6 months; otherwise No. Provide documentation if applicable.
idx_7,title_en,Explanation
idx_7,intent_en,Asks your current marital status for eligibility and documentation requirements.
idx_7,answer_guidance_en,State your status (single/married/divorced/widowed/separated) consistent with legal records.
idx_8,title_en,Explanation
idx_8,intent_en,If your spouse is a U.S. citizen may affect eligibility pathways and documentation.
idx_8,answer_guidance_en,"Answer Yes only if spouse is a U.S. citizen; be prepared to show proof (e.g., passport, naturalization certificate)."
idx_9,title_en,Explanation
idx_9,intent_en,Asks whether you have children to confirm dependents and disclosure completeness.
idx_9,answer_guidance_en,"Answer Yes if you have any children (biological, adopted, step). Provide number and details if asked."
idx_10,title_en,Explanation
