ChapterID,ChapterTitle,ChapterIntroduction,SectionNumber,SectionContent,Answers,QuestionID,QuestionNumber
1,The Blueprint for Freedom,"Before the adventure of America could begin, the great adventurers (the Founding Fathers) first drew the most important 'blueprint.' Without this design, the United States as we know it would not exist.",,,,,
1,,,1,"The most important rule and the supreme law of the land is the Constitution (Q. 1). This great blueprint serves three core functions: it sets up the government, defines the government, and most importantly, protects the basic rights of Americans (Q. 2). The first three words of this blueprint are ""We the People,"" making it clear that all power comes from the people (Q. 3).","Constitution, sets up the government, defines the government, protects the basic rights of Americans, We the People",,
1,,,2,"A blueprint cannot be perfect forever, so it needs updates as times change. A change or addition to the Constitution is called an amendment (Q. 4). To date, the U.S. Constitution has been updated 27 times (Q. 7). Among these, the very first list of 10 updates, promised as ""this we must absolutely protect,"" is called the Bill of Rights (Q. 5). Within the first promise (the First Amendment) of this Bill of Rights are very important freedoms: speech, religion, assembly, press, and the right to petition the government (Q. 6).","amendment, 27, Bill of Rights, speech, religion, assembly, press, petition the government",,
1,,,3,"Before the Constitution was created, the American people sent a letter to the King of Great Britain saying, ""We will no longer follow your rules!"" This is the Declaration of Independence. This declaration officially announced our independence (from Great Britain) and proclaimed the United States a free nation (Q. 8). It states three core rights that all human beings are born with: life, liberty, and the pursuit of happiness (Q. 9).","Declaration of Independence, announced our independence (from Great Britain), life, liberty, pursuit of happiness",,
1,,,4,"For all these principles to work properly, the rules must apply fairly to everyone. This is called the rule of law, and it means that whether you are the president or an ordinary citizen, no one is above the law, and everyone must follow the law (Q. 12). Within this free environment, the United States adopted a capitalist or market economy system that respects private property and effort (Q. 11). Lastly, one of the most cherished rights for Americans, the freedom of religion, means that you can practice any religion, or not practice a religion, without government interference (Q. 10).","rule of law, no one is above the law, everyone must follow the law, capitalist or market economy, freedom of religion, you can practice any religion, or not practice a religion",,
2,"The U.S. Government, Inc.","Let's imagine the country as a large company. To prevent it from being run autocratically, the founders divided power among three 'managers.'",,,,,
2,,,1,"The U.S. government is broadly divided into three branches: the legislative branch, which makes laws; the executive branch, which carries out laws; and the judicial branch, which interprets laws (Q. 13). To prevent any one manager from becoming too powerful, they created a system of monitoring each other and balancing power, which is known as checks and balances and the separation of powers (Q. 14).","branches, legislative, executive, judicial, checks and balances, separation of powers",,
2,,,2,"The responsibility for making federal laws lies with Congress (Q. 16). Congress is composed of two smaller teams: the Senate and the House of Representatives (Q. 17). The Senate has a total of one hundred (100) senators, two from each state (Q. 18), and their term is six (6) years (Q. 19). A senator represents all people of the state (Q. 24). (*You must know the name of one of your state's senators* (Q. 20)). The House of Representatives has four hundred thirty-five (435) voting members (Q. 21), and their term is two (2) years (Q. 22). The reason some states have more Representatives than others is because of the state's population. States with more people get more representatives (Q. 25). (*You must know the name of your local Representative* (Q. 23)).","federal laws, Congress, Senate, House of Representatives, one hundred (100), six (6) years, all people of the state, four hundred thirty-five (435), two (2) years, state's population",,
2,,,3,"The chief executive responsible for the entire executive branch is the President (Q. 15). The President's term is four (4) years (Q. 26), and we vote for the President in November (Q. 27). (*You must know the current President (Donald J. Trump) and Vice President (JD Vance)* (Q. 28, 29)). The President is the Commander in Chief of the military (Q. 32), and can sign bills passed by Congress to make them law or veto bills if they disapprove (Q. 33, 34). To assist the President, there is a Cabinet of experts, whose main role is to advise the President (Q. 35). Key Cabinet positions include the Secretary of State and the Secretary of Defense (Q. 36). If the President can no longer serve, the Vice President succeeds them (Q. 30). If both the President and Vice President are unable to serve, the Speaker of the House becomes President (Q. 31). (*You must know the current Speaker of the House (Mike Johnson) and the President's political party (Republican Party)* (Q. 47, 46)).","President, four (4) years, November, Donald J. Trump, JD Vance, Commander in Chief, sign bills, veto bills, Cabinet, advise the President, Secretary of State, Secretary of Defense, Vice President, Speaker of the House, Mike Johnson, Republican Party",,
2,,,4,"The main role of the judicial branch is to review laws, explain laws, and decide if a law goes against the Constitution (Q. 37). The highest court in the United States is the Supreme Court (Q. 38), which has a total of nine (9) justices (Q. 39). (*You must know the name of the current Chief Justice (John Roberts)* (Q. 40)).","review laws, explain laws, decide if a law goes against the Constitution, Supreme Court, nine (9), John Roberts",,
2,,,5,"The Constitution divides powers, giving some to the federal government and some to the state governments. Only the federal government has the power to print money or declare war (Q. 41). On the other hand, powers such as providing schooling and education and giving a driver's license belong to the individual state governments (Q. 42). The two major political parties, the Democratic and Republican parties, often have different views on how these powers should be used (Q. 45). (*You must know the name of your state's Governor and the name of your state's capital)* (Q. 43, 44)).","print money, declare war, providing schooling and education, giving a driver's license, Democratic and Republican, Governor, capital",,
3,The Citizen's Handbook,"Becoming a U.S. citizen means having special rights and, with them, responsibilities.",,,,,
3,,,1,"The U.S. Constitution has been updated several times regarding who can vote. Now, any citizen 18 and older can vote, and they cannot be denied the right to vote because of their sex or race, or because they haven't paid a poll tax (Q. 48). Certain rights and responsibilities are exclusive to U.S. citizens. The right to vote in a federal election or run for federal office is only for citizens (Q. 50). Also, serving on a jury is a key responsibility of a citizen (Q. 49).","citizen 18 and older, poll tax, vote in a federal election, run for federal office, serving on a jury",,
