Index,Category_EN,SubCategory_EN,Category_VI,SubCategory_VI,Question_EN,Answers_EN,Question_VI,Answers_VI
1,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,What is the form of government of the United States?,"Republic, Constitution-based federal republic, Representative democracy",Các hình thức của chính phủ Hoa Kỳ là gì?,"Cộng Hòa, Cộng Hòa liên bang dựa trên Hiến Pháp, Dân Chủ đại diện"
2,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,What is the supreme law of the land? *,(U.S.) Constitution,Bộ luật tối cao của quốc gia là gì? *,Hiến pháp
3,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Name one thing the U.S. Constitution does.,"Forms the government, Defines powers of government, Defines the parts of government, Protects the rights of the people",Kể tên một điều mà Hiến Pháp Hoa Kỳ thực hiện.,"Thiết lập Chính phủ, Mô tả quyền hạn Chính phủ, Mô tả tổ chức Chính phủ, Bảo vệ những quyền cơ bản của người dân Hoa Kỳ"
4,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,The U.S. Constitution starts with the words “We the People.” What does “We the People” mean?,"Self-government, Popular sovereignty, Consent of the governed, People should govern themselves, (Example of) social contract","Hiến Pháp Hoa Kỳ được bắt đầu bằng các từ """"Chúng tôi, nhân dân."""" """"Chúng tôi,",
5,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,How are changes made to the U.S. Constitution?,"Amendments, The amendment process",Hiến pháp Hoa Kỳ được thay đổi như thế nào?,"Tu chánh án, Quy trình tu chính"
6,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,What does the Bill of Rights protect?,"(The basic) rights of Americans, (The basic) rights of people living in the United States",Tuyên ngôn Nhân quyền Hoa Kỳ bảo vệ điều gì?,"Các quyền (cơ bản) của công dân Hoa Kỳ, Các quyền (cơ bản) của những người sống ở Hoa Kỳ"
7,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,How many amendments does the U.S. Constitution have? *,Twenty-seven (27),Hiến pháp có bao nhiêu tu chính án? *,hai mươi bảy (27)
8,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Why is the Declaration of Independence important?,"It says America is free from British control., It says all people are created equal., It identifies inherent rights., It identifies individual freedoms.",Tại sao Tuyên ngôn Độc lập lại quan trọng?,"Nó xác định rằng Hoa Kỳ thoát khỏi sự kiểm soát của Anh Quốc., Nó chỉ ra tất cả mọi người đều sinh ra có quyền bình đẳng., Nó xác định các quyền vốn có., Nó xác định các quyền tự do cá nhân"
9,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,What founding document said the American colonies were free from Britain?,Declaration of Independence,Văn kiện thành lập nào cho biết các thuộc địa của Hoa Kỳ đã thoát khỏi Anh Quốc?,Tuyên ngôn Độc lập
10,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Name two important ideas from the Declaration of Independence and the U.S. Constitution.,"Equality, Liberty, Social contract, Natural rights, Limited government, Self-government",Kể tên hai ý tưởng quan trọng trong Tuyên ngôn Độc lập và Hiến pháp Hoa Kỳ.,"Bình đẳng, Tự do, Khế ước xã hội, Quyền căn bản tự nhiên, Nhà nước có quyền lực hạn chế, Tự quản"
