ID,DataName,ar,,
59,Correct_Answer_1,الهنود الأمريكيون,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,شعوب أصلية عاشت في الأمريكتين لآلاف السنين قبل الاستعمار الأوروبي.,,
59,Correct_Answer_2,الأمريكيون الأصليون,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,الحرب الأهلية,,
73,Correct_Rationale_1,دارت الحرب الأهلية بين الولايات الشمالية والجنوبية حول قضايا تشمل العبودية وحقوق الولايات.,,
91,Correct_Answer_1,بورتو ريكو,,
91,Correct_Rationale_1,بورتو ريكو إقليم غير مدمج تابع للولايات المتحدة في الكاريبي.,,
91,Correct_Answer_2,غوام,,
91,Correct_Rationale_2,غوام إقليم تابع للولايات المتحدة في المحيط الهادئ.,,
91,Correct_Answer_3,جزر فيرجن الأمريكية,,
91,Correct_Rationale_3,جزر فيرجن الأمريكية مجموعة جزر في الكاريبي وإقليم أمريكي.,,
91,Correct_Answer_4,ساموا الأمريكية,,
91,Correct_Rationale_4,ساموا الأمريكية إقليم تابع للولايات المتحدة في جنوب المحيط الهادئ.,,
91,Correct_Answer_5,جزر ماريانا الشمالية,,
91,Correct_Rationale_5,جزر ماريانا الشمالية كومنولث تابع للولايات المتحدة في المحيط الهادئ.,,
92,Correct_Answer_1,واشنطن,,
92,Correct_Rationale_1,واشنطن تحد مقاطعة كولومبيا البريطانية الكندية.,,
92,Correct_Answer_2,ألاسكا,,
92,Correct_Rationale_2,ألاسكا تحد يوكون وكولومبيا البريطانية في كندا.,,
92,Correct_Answer_3,نيويورك,,
92,Correct_Rationale_3,نيويورك تحد مقاطعتي أونتاريو وكيبيك الكنديتين.,,
92,Correct_Answer_4,مونتانا,,
92,Correct_Rationale_4,"مونتانا تحد مقاطعات كولومبيا البريطانية، وألبرتا، وساسكاتشوان الكندية.",,
93,Correct_Answer_1,كاليفورنيا,,
93,Correct_Rationale_1,كاليفورنيا تحد المكسيك على حدودها الجنوبية.,,
93,Correct_Answer_2,أريزونا,,
93,Correct_Rationale_2,أريزونا تشترك في جزء كبير من حدودها الجنوبية مع المكسيك.,,
93,Correct_Answer_3,نيو مكسيكو,,
93,Correct_Rationale_3,نيو مكسيكو تحد المكسيك من الجنوب.,,
93,Correct_Answer_4,تكساس,,
93,Correct_Rationale_4,تكساس لها أطول حدود مع المكسيك بين الولايات الأمريكية.,,
100,Correct_Answer_1,يوم رأس السنة,,
100,Correct_Rationale_1,يحتفل ببداية السنة الجديدة في الأول من يناير.,,
100,Correct_Answer_2,يوم مارتن لوثر كينغ جونيور,,
100,Correct_Rationale_2,يكرم زعيم الحقوق المدنية مارتن لوثر كينغ جونيور.,,
100,Correct_Answer_3,يوم الرؤساء,,
100,Correct_Rationale_3,يحتفل بعيد ميلاد جورج واشنطن وأبراهام لنكولن.,,
100,Correct_Answer_4,يوم الذكرى,,
100,Correct_Rationale_4,يكرم من ماتوا أثناء خدمتهم في الجيش الأمريكي.,,
100,Correct_Answer_5,يوم الاستقلال,,
100,Correct_Rationale_5,يحتفل باعتماد إعلان الاستقلال عام 1776.,,
100,Correct_Answer_6,عيد العمال,,
100,Correct_Rationale_6,يكرم العمال الأمريكيين وحركة العمل.,,
100,Correct_Answer_7,يوم كولومبوس,,
100,Correct_Rationale_7,يخلد ذكرى وصول كريستوفر كولومبوس إلى الأمريكتين.,,
100,Correct_Answer_8,يوم المحاربين القدامى,,
100,Correct_Rationale_8,يكرم جميع المحاربين القدامى في الجيش الأمريكي.,,
100,Correct_Answer_9,عيد الشكر,,
100,Correct_Rationale_9,يوم لشكر الحصاد والبركات خلال السنة الماضية.,,
100,Correct_Answer_10,عيد الميلاد,,
100,Correct_Rationale_10,يحتفل بميلاد يسوع المسيح ويحتفل به على نطاق واسع في الولايات المتحدة.,,
