ID,DataName,fr,,
59,Correct_Answer_1,Indiens d’Amérique,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,Peuples autochtones ayant vécu en Amérique pendant des milliers d’années avant la colonisation européenne.,,
59,Correct_Answer_2,Amérindiens,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,la guerre de Sécession,,
73,Correct_Rationale_1,La guerre de Sécession a opposé les États du Nord et du Sud à propos de l’esclavage et des droits des États.,,
91,Correct_Answer_1,Porto Rico,,
91,Correct_Rationale_1,Porto Rico est un territoire non incorporé des États-Unis dans les Caraïbes.,,
91,Correct_Answer_2,Guam,,
91,Correct_Rationale_2,Guam est un territoire américain dans l'océan Pacifique.,,
91,Correct_Answer_3,Îles Vierges des États-Unis,,
91,Correct_Rationale_3,Les Îles Vierges des États-Unis sont un groupe d’îles caribéennes et un territoire américain.,,
91,Correct_Answer_4,Samoa américaines,,
91,Correct_Rationale_4,Les Samoa américaines sont un territoire américain dans le sud du Pacifique.,,
91,Correct_Answer_5,Îles Mariannes du Nord,,
91,Correct_Rationale_5,Les Îles Mariannes du Nord sont un commonwealth américain dans l'océan Pacifique.,,
92,Correct_Answer_1,Washington,,
92,Correct_Rationale_1,Washington partage une frontière avec la province canadienne de la Colombie-Britannique.,,
92,Correct_Answer_2,Alaska,,
92,Correct_Rationale_2,L’Alaska borde le Yukon et la Colombie-Britannique au Canada.,,
92,Correct_Answer_3,New York,,
92,Correct_Rationale_3,New York partage une frontière avec l’Ontario et le Québec au Canada.,,
92,Correct_Answer_4,Montana,,
92,Correct_Rationale_4,"Le Montana partage une longue frontière avec la Colombie-Britannique, l’Alberta et la Saskatchewan.",,
93,Correct_Answer_1,Californie,,
93,Correct_Rationale_1,La Californie partage une frontière sud avec le Mexique.,,
93,Correct_Answer_2,Arizona,,
93,Correct_Rationale_2,L’Arizona partage une grande partie de sa frontière sud avec le Mexique.,,
93,Correct_Answer_3,Nouveau-Mexique,,
93,Correct_Rationale_3,Le Nouveau-Mexique borde le Mexique au sud.,,
93,Correct_Answer_4,Texas,,
93,Correct_Rationale_4,Le Texas partage la plus longue frontière avec le Mexique parmi les États américains.,,
100,Correct_Answer_1,Jour de l’An,,
100,Correct_Rationale_1,Célèbre le début de la nouvelle année le 1er janvier.,,
100,Correct_Answer_2,"Jour de Martin Luther King, Jr.",,
100,Correct_Rationale_2,"Rend hommage au leader des droits civiques Martin Luther King, Jr.",,
100,Correct_Answer_3,Jour des Présidents,,
100,Correct_Rationale_3,Célèbre les anniversaires de George Washington et Abraham Lincoln.,,
100,Correct_Answer_4,Jour du Souvenir,,
100,Correct_Rationale_4,Rend hommage aux soldats morts au service.,,
100,Correct_Answer_5,Jour de l’Indépendance,,
100,Correct_Rationale_5,Célèbre l’adoption de la Déclaration d’indépendance en 1776.,,
100,Correct_Answer_6,Fête du Travail,,
100,Correct_Rationale_6,Rend hommage aux travailleurs américains et au mouvement ouvrier.,,
100,Correct_Answer_7,Jour de Christophe Colomb,,
100,Correct_Rationale_7,Commémore l’arrivée de Christophe Colomb en Amérique.,,
100,Correct_Answer_8,Jour des anciens combattants,,
100,Correct_Rationale_8,Rend hommage à tous les anciens combattants américains.,,
100,Correct_Answer_9,Action de grâce,,
100,Correct_Rationale_9,Jour pour rendre grâce pour les récoltes et bénédictions.,,
100,Correct_Answer_10,Noël,,
100,Correct_Rationale_10,Célèbre la naissance de Jésus-Christ et est largement observé aux États-Unis.,,
