ID,DataName,es,
1,Question,¿Cuál es la ley suprema del país?,
1,Correct_Answer_1,la Constitución,
1,Correct_Rationale_1,La Constitución es la ley fundamental y suprema del gobierno de los Estados Unidos.,
1,Wrong_Answer_1,la Declaración de Independencia,
1,Wrong_Rationale_1,"La Declaración de Independencia es un documento crucial que declaró la independencia, pero no es una ley.",
1,Wrong_Answer_2,la Carta de Derechos,
1,Wrong_Rationale_2,"La Carta de Derechos es parte de la Constitución (las primeras 10 enmiendas), no toda la ley suprema en sí misma.",
1,Wrong_Answer_3,los Documentos Federalistas,
1,Wrong_Rationale_3,Los Documentos Federalistas fueron una serie de ensayos escritos para persuadir a la gente de ratificar la Constitución.,
2,Question,¿Qué hace la Constitución?,
2,Correct_Answer_1,establece el gobierno,
2,Correct_Rationale_1,Una de las funciones principales de la Constitución es establecer y definir el gobierno.,
2,Correct_Answer_2,define el gobierno,
2,Correct_Rationale_2,La Constitución especifica los poderes y responsabilidades de cada rama del gobierno.,
2,Correct_Answer_3,protege los derechos básicos de los estadounidenses,
2,Correct_Rationale_3,"Varias enmiendas, incluida la Carta de Derechos, protegen los derechos básicos de los ciudadanos.",
2,Wrong_Answer_1,"elige al Presidente, hace leyes, recauda impuestos",
2,Wrong_Rationale_1,"La Constitución describe el proceso para elegir a un presidente, pero no elige al presidente por sí misma. Las leyes son hechas por el Congreso, no directamente por la Constitución. La recaudación de impuestos es un poder otorgado al Congreso por la Constitución, no una acción de la Constitución en sí.",
2,Wrong_Answer_2,"hace cumplir las leyes, dirige el ejército, negocia tratados",
2,Wrong_Rationale_2,"Estos son poderes del poder ejecutivo que están otorgados por la Constitución, pero no son lo que la Constitución en sí misma hace.",
2,Wrong_Answer_3,"interpreta las leyes, resuelve disputas, revisa casos judiciales",
2,Wrong_Rationale_3,"Estas son funciones del poder judicial que están establecidas por la Constitución, pero no son acciones directas de la Constitución en sí misma.",
3,Question,La idea de autogobierno está en las tres primeras palabras de la Constitución. ¿Cuáles son estas palabras?,
3,Correct_Answer_1,"Nosotros, el Pueblo",
3,Correct_Rationale_1,Estas palabras simbolizan que el poder del gobierno proviene del pueblo.,
3,Wrong_Answer_1,Cuatro décadas y,
3,Wrong_Rationale_1,Este es el comienzo del Discurso de Gettysburg de Lincoln.,
3,Wrong_Answer_2,El Congreso hará,
3,Wrong_Rationale_2,Esta es una frase del Artículo I de la Constitución.,
3,Wrong_Answer_3,Prometo lealtad,
3,Wrong_Rationale_3,Este es el comienzo de la Promesa de Lealtad.,
4,Question,¿Qué es una enmienda?,
4,Correct_Answer_1,un cambio,
4,Correct_Rationale_1,Una enmienda es un cambio a la Constitución.,
4,Correct_Answer_2,una adición,
4,Correct_Rationale_2,Una enmienda es una adición a la Constitución.,
4,Wrong_Answer_1,"una nueva ley, una decisión de la Corte Suprema",
4,Wrong_Rationale_1,"Una nueva ley es creada por el Congreso y es diferente de una enmienda, que cambia la Constitución misma. Una decisión de la Corte Suprema interpreta la ley, pero no cambia directamente el texto de la Constitución.",
4,Wrong_Answer_2,"un tratado, un acuerdo ejecutivo",
4,Wrong_Rationale_2,Un tratado es un acuerdo internacional que requiere la aprobación del Senado pero no cambia la Constitución. Un acuerdo ejecutivo es realizado por el Presidente con naciones extranjeras sin la aprobación del Senado.,
4,Wrong_Answer_3,"una ley estatal, una regulación federal",
4,Wrong_Rationale_3,"Una ley estatal se aplica solo dentro de ese estado y no puede cambiar la Constitución federal. Una regulación federal es una norma creada por agencias federales para implementar leyes, pero no puede enmendar la Constitución.",
5,Question,¿Cómo llamamos a las primeras diez enmiendas a la Constitución?,
5,Correct_Answer_1,la Carta de Derechos,
5,Correct_Rationale_1,Estas diez enmiendas garantizan derechos y libertades individuales fundamentales.,
5,Wrong_Answer_1,la Declaración de Independencia,
5,Wrong_Rationale_1,"La Declaración de Independencia, de 1776, declaró la independencia y no es un conjunto de enmiendas constitucionales.",
5,Wrong_Answer_2,los Documentos Federalistas,
5,Wrong_Rationale_2,Los Documentos Federalistas fueron una serie de ensayos escritos para persuadir a la gente de ratificar la Constitución.,
5,Wrong_Answer_3,la Proclamación de Emancipación,
5,Wrong_Rationale_3,La Proclamación de Emancipación fue una orden ejecutiva de Lincoln que liberó a los esclavos en la Confederación.,
6,Question,¿Cuál es un derecho o libertad de la Primera Enmienda?,
6,Correct_Answer_1,libertad de religión,
6,Correct_Rationale_1,La Primera Enmienda prohíbe que el gobierno interfiera con la elección de religión de una persona.,
6,Correct_Answer_2,libertad de expresión,
6,Correct_Rationale_2,La Primera Enmienda prohíbe que el gobierno suprima indebidamente la expresión individual.,
6,Correct_Answer_3,libertad de reunión,
6,Correct_Rationale_3,Las personas tienen el derecho de reunirse pacíficamente y compartir sus opiniones.,
6,Correct_Answer_4,libertad de prensa,
6,Correct_Rationale_4,Este es el derecho a imprimir y distribuir información sin censura previa del gobierno.,
6,Correct_Answer_5,libertad de petición al gobierno,
6,Correct_Rationale_5,Los ciudadanos tienen el derecho de solicitar cambios en la política gubernamental.,
6,Wrong_Answer_1,"el derecho al voto, el derecho a portar armas, el derecho al debido proceso, el derecho a igual protección, el derecho a la privacidad",
6,Wrong_Rationale_1,"El derecho al voto está protegido por otras enmiendas (15, 19, 26), no por la Primera. El derecho a portar armas está protegido por la Segunda Enmienda. El debido proceso está garantizado por las Enmiendas 5 y 14. La protección igualitaria está provista por la Enmienda 14. Los derechos de privacidad derivan de varias enmiendas, pero no están explícitamente en la Primera.",
6,Wrong_Answer_2,"el derecho a juicio por jurado, el derecho a no autoincriminarse, el derecho a un abogado, el derecho a un juicio rápido, el derecho a confrontar testigos",
6,Wrong_Rationale_2,"Todos estos son derechos garantizados por las Enmiendas 6, 7 y 8 relacionados con la justicia penal y los procesos legales, no por la Primera Enmienda que se centra en las libertades fundamentales de expresión y creencia.",
