ID,DataName,hi
1,Question,भूमि का सर्वोच्च कानून क्या है?
1,Correct_Answer_1,संविधान
1,Correct_Rationale_1,संविधान अमेरिकी सरकार का मूलभूत और सर्वोच्च कानून है।
1,Wrong_Answer_1,स्वतंत्रता की घोषणा
1,Wrong_Rationale_1,"स्वतंत्रता की घोषणा एक महत्वपूर्ण दस्तावेज़ है जिसने स्वतंत्रता की घोषणा की, लेकिन यह कोई कानून नहीं है।"
1,Wrong_Answer_2,अधिकारों का विधेयक
1,Wrong_Rationale_2,"अधिकारों का विधेयक संविधान का हिस्सा है (पहले 10 संशोधन), न कि पूरा सर्वोच्च कानून।"
1,Wrong_Answer_3,संघवादियों के कागजात
1,Wrong_Rationale_3,संघवादियों के कागजात निबंधों की एक श्रृंखला थे जो लोगों को संविधान की पुष्टि करने के लिए मनाने हेतु लिखे गए थे।
2,Question,संविधान क्या करता है?
2,Correct_Answer_1,सरकार की स्थापना करता है
2,Correct_Rationale_1,संविधान का एक मुख्य कार्य सरकार की स्थापना और परिभाषा करना है।
2,Correct_Answer_2,सरकार को परिभाषित करता है
2,Correct_Rationale_2,संविधान सरकार की प्रत्येक शाखा की शक्तियों और जिम्मेदारियों को निर्दिष्ट करता है।
2,Correct_Answer_3,अमेरिकियों के मौलिक अधिकारों की रक्षा करता है
2,Correct_Rationale_3,"कई संशोधन, जिनमें अधिकारों का विधेयक शामिल है, नागरिकों के मौलिक अधिकारों की रक्षा करते हैं।"
2,Wrong_Answer_1,"राष्ट्रपति का चुनाव करता है, कानून बनाता है, कर वसूलता है"
2,Wrong_Rationale_1,"संविधान राष्ट्रपति के चुनाव की प्रक्रिया बताता है, लेकिन वह स्वयं राष्ट्रपति का चुनाव नहीं करता। कानून कांग्रेस द्वारा बनाए जाते हैं, न कि सीधे संविधान द्वारा। कर संग्रह करना कांग्रेस को संविधान द्वारा दी गई शक्ति है, न कि स्वयं संविधान की कार्रवाई।"
2,Wrong_Answer_2,"कानून लागू करता है, सेना का नेतृत्व करता है, संधियाँ करता है"
2,Wrong_Rationale_2,"ये कार्यकारी शाखा की शक्तियाँ हैं जो संविधान द्वारा दी गई हैं, लेकिन ये स्वयं संविधान के कार्य नहीं हैं।"
2,Wrong_Answer_3,"कानूनों की व्याख्या करता है, विवादों का समाधान करता है, न्यायालय मामलों की समीक्षा करता है"
2,Wrong_Rationale_3,"ये न्यायपालिका की कार्यप्रणालियाँ हैं जो संविधान द्वारा स्थापित की गई हैं, लेकिन ये स्वयं संविधान की सीधी क्रियाएँ नहीं हैं।"
3,Question,आत्म-शासन का विचार संविधान के पहले तीन शब्दों में है। ये शब्द क्या हैं?
3,Correct_Answer_1,"हम, लोग"
3,Correct_Rationale_1,ये शब्द दर्शाते हैं कि सरकार की शक्ति जनता से आती है।
3,Wrong_Answer_1,चार स्कोर और
3,Wrong_Rationale_1,यह लिंकन के गेटिसबर्ग भाषण की शुरुआत है।
3,Wrong_Answer_2,कांग्रेस बनाएगा
3,Wrong_Rationale_2,यह संविधान के अनुच्छेद I से लिया गया वाक्यांश है।
3,Wrong_Answer_3,मैं निष्ठा की शपथ लेता हूँ
3,Wrong_Rationale_3,यह निष्ठा की शपथ की शुरुआत है।
4,Question,संशोधन क्या है?
4,Correct_Answer_1,एक बदलाव
4,Correct_Rationale_1,संशोधन संविधान में एक बदलाव है।
4,Correct_Answer_2,एक जोड़
4,Correct_Rationale_2,संशोधन संविधान में एक जोड़ है।
4,Wrong_Answer_1,"एक नया कानून, एक सर्वोच्च न्यायालय का निर्णय"
4,Wrong_Rationale_1,"एक नया कानून कांग्रेस द्वारा बनाया जाता है और यह संशोधन से अलग है, जो स्वयं संविधान को बदलता है। सर्वोच्च न्यायालय का निर्णय कानून की व्याख्या करता है, लेकिन यह सीधे संविधान के पाठ को नहीं बदलता।"
4,Wrong_Answer_2,"एक संधि, एक कार्यकारी समझौता"
4,Wrong_Rationale_2,"एक संधि एक अंतर्राष्ट्रीय समझौता है जिसे सीनेट की मंजूरी की आवश्यकता होती है, लेकिन यह संविधान को नहीं बदलता। एक कार्यकारी समझौता राष्ट्रपति द्वारा विदेशी राष्ट्रों के साथ सीनेट की मंजूरी के बिना किया जाता है।"
4,Wrong_Answer_3,"एक राज्य कानून, एक संघीय विनियमन"
4,Wrong_Rationale_3,"एक राज्य कानून केवल उसी राज्य के भीतर लागू होता है और संघीय संविधान को नहीं बदल सकता। एक संघीय विनियमन संघीय एजेंसियों द्वारा कानून लागू करने के लिए बनाया गया एक नियम है, लेकिन यह संविधान में संशोधन नहीं कर सकता।"
5,Question,हम संविधान के पहले दस संशोधनों को क्या कहते हैं?
5,Correct_Answer_1,अधिकारों का विधेयक
5,Correct_Rationale_1,ये दस संशोधन मुख्य व्यक्तिगत अधिकारों और स्वतंत्रताओं की गारंटी देते हैं।
5,Wrong_Answer_1,स्वतंत्रता की घोषणा
5,Wrong_Rationale_1,1776 की स्वतंत्रता की घोषणा ने स्वतंत्रता की घोषणा की थी और यह संवैधानिक संशोधनों का समूह नहीं है।
5,Wrong_Answer_2,संघवादियों के कागजात
5,Wrong_Rationale_2,संघवादियों के कागजात निबंधों की एक श्रृंखला थे जो लोगों को संविधान की पुष्टि करने के लिए मनाने हेतु लिखे गए थे।
5,Wrong_Answer_3,मुक्ति घोषणा
5,Wrong_Rationale_3,मुक्ति घोषणा लिंकन का एक कार्यकारी आदेश था जिसने परिसंघ में दासों को मुक्त किया।
6,Question,पहला संशोधन से एक अधिकार या स्वतंत्रता क्या है?
6,Correct_Answer_1,धर्म की स्वतंत्रता
6,Correct_Rationale_1,पहला संशोधन सरकार को किसी व्यक्ति के धर्म के चुनाव में हस्तक्षेप करने से रोकता है।
6,Correct_Answer_2,भाषण की स्वतंत्रता
6,Correct_Rationale_2,पहला संशोधन सरकार को अनुचित रूप से व्यक्तिगत अभिव्यक्ति को दबाने से रोकता है।
6,Correct_Answer_3,सभा की स्वतंत्रता
6,Correct_Rationale_3,लोगों को शांतिपूर्वक इकट्ठा होने और अपनी राय साझा करने का अधिकार है।
6,Correct_Answer_4,प्रेस की स्वतंत्रता
6,Correct_Rationale_4,यह जानकारी को बिना सरकारी सेंसरशिप के छापने और वितरित करने का अधिकार है।
6,Correct_Answer_5,सरकार से याचिका करने की स्वतंत्रता
6,Correct_Rationale_5,नागरिकों को सरकारी नीति में बदलाव का अनुरोध करने का अधिकार है।
6,Wrong_Answer_1,"मतदान का अधिकार, हथियार रखने का अधिकार, उचित प्रक्रिया का अधिकार, समान संरक्षण का अधिकार, गोपनीयता का अधिकार"
6,Wrong_Rationale_1,"मतदान का अधिकार अन्य संशोधनों (15वां, 19वां, 26वां) द्वारा संरक्षित है, पहले द्वारा नहीं। हथियार रखने का अधिकार दूसरे संशोधन द्वारा संरक्षित है। उचित प्रक्रिया का अधिकार 5वें और 14वें संशोधनों द्वारा गारंटीकृत है। समान संरक्षण का अधिकार 14वें संशोधन द्वारा प्रदान किया गया है। गोपनीयता के अधिकार विभिन्न संशोधनों से उत्पन्न होते हैं लेकिन पहले में स्पष्ट रूप से नहीं बताए गए हैं।"
6,Wrong_Answer_2,"जूरी द्वारा मुकदमे का अधिकार, आत्म-अभियोग से बचने का अधिकार, वकील का अधिकार, शीघ्र मुकदमे का अधिकार, गवाहों का सामना करने का अधिकार"
6,Wrong_Rationale_2,"ये सभी अधिकार 6वें, 7वें और 8वें संशोधनों द्वारा गारंटीकृत हैं, जो आपराधिक न्याय और कानूनी कार्यवाहियों से संबंधित हैं, न कि पहले संशोधन द्वारा, जो अभिव्यक्ति और विश्वास की मौलिक स्वतंत्रताओं पर केंद्रित है।"
6,Wrong_Answer_3,"अंतर्राज्यीय यात्रा का अधिकार, विवाह का अधिकार, काम करने का अधिकार, शिक्षा का अधिकार, स्वास्थ्य सेवा का अधिकार"
6,Wrong_Rationale_3,"अंतर्राज्यीय यात्रा संविधान में निहित है लेकिन पहले संशोधन में नहीं। विवाह के अधिकार विभिन्न न्यायालय व्याख्याओं से प्राप्त होते हैं। काम, शिक्षा और स्वास्थ्य सेवा के अधिकार संविधान द्वारा स्पष्ट रूप से गारंटीकृत नहीं हैं और निश्चित रूप से पहले संशोधन द्वारा नहीं।"
7,Question,संविधान में कितने संशोधन हैं?
7,Correct_Answer_1,सत्ताईस (27)
7,Correct_Rationale_1,"1791 में अधिकारों के विधेयक के बाद, 17 और जोड़े गए, जिससे कुल 27 हो गए।"
7,Wrong_Answer_1,दस (10)
7,Wrong_Rationale_1,दस अधिकारों के विधेयक में संशोधनों की संख्या है।
7,Wrong_Answer_2,पचास (50)
7,Wrong_Rationale_2,पचास संयुक्त राज्य अमेरिका में राज्यों की संख्या है।
7,Wrong_Answer_3,तेरह (13)
7,Wrong_Rationale_3,तेरह वह संख्या है जो अमेरिका की स्थापना के समय मूल उपनिवेशों (राज्यों) की थी।
8,Question,स्वतंत्रता की घोषणा ने क्या किया?
8,Correct_Answer_1,हमारी स्वतंत्रता (ब्रिटेन से) की घोषणा की
8,Correct_Rationale_1,इसने दुनिया को घोषणा की कि उपनिवेश अब ब्रिटिश शासन के अधीन नहीं थे।
8,Correct_Answer_2,हमारी स्वतंत्रता (ब्रिटेन से) की घोषणा की
8,Correct_Rationale_2,घोषणा ने औपचारिक रूप से उपनिवेशों की ब्रिटिश शासन से स्वतंत्रता की घोषणा की।
8,Correct_Answer_3,कहा कि संयुक्त राज्य अमेरिका स्वतंत्र है (ब्रिटेन से)
8,Correct_Rationale_3,घोषणा ने कहा कि संयुक्त राज्य अमेरिका एक स्वतंत्र और मुक्त राष्ट्र था।
8,Wrong_Answer_1,महिलाओं को वोट देने का अधिकार दिया
8,Wrong_Rationale_1,महिलाओं को वोट देने का अधिकार 1920 में अनुमोदित 19वें संशोधन द्वारा दिया गया था।
8,Wrong_Answer_2,दासों को मुक्त किया
8,Wrong_Rationale_2,दासों को 1863 में लिंकन की मुक्ति घोषणा और बाद में 13वें संशोधन द्वारा मुक्त किया गया था।
8,Wrong_Answer_3,संविधान बनाया
8,Wrong_Rationale_3,संविधान बाद में 1787 में संवैधानिक सम्मेलन में बनाया गया था।
9,Question,स्वतंत्रता की घोषणा में दो अधिकार कौन से हैं?
9,Correct_Answer_1,जीवन
9,Correct_Rationale_1,जीवन स्वतंत्रता की घोषणा में सूचीबद्ध तीन अविच्छेद्य अधिकारों में से एक है।
9,Correct_Answer_2,स्वतंत्रता
9,Correct_Rationale_2,स्वतंत्रता स्वतंत्रता की घोषणा में सूचीबद्ध तीन अविच्छेद्य अधिकारों में से एक है।
9,Correct_Answer_3,खुशियों की तलाश
9,Correct_Rationale_3,खुशियों की तलाश स्वतंत्रता की घोषणा में सूचीबद्ध तीन अविच्छेद्य अधिकारों में से एक है।
9,Wrong_Answer_1,भाषण और धर्म की स्वतंत्रता
9,Wrong_Rationale_1,भाषण और धर्म की स्वतंत्रता अधिकारों के विधेयक (पहला संशोधन) में सूचीबद्ध अधिकार हैं।
9,Wrong_Answer_2,वोट देने और पद के लिए चुनाव लड़ने का अधिकार
9,Wrong_Rationale_2,"ये अमेरिकी नागरिकों के लिए महत्वपूर्ण अधिकार हैं, लेकिन इन्हें संविधान द्वारा परिभाषित किया गया है, न कि स्वतंत्रता की घोषणा द्वारा।"
9,Wrong_Answer_3,संपत्ति रखने और शिक्षा पाने का अधिकार
9,Wrong_Rationale_3,"ये महत्वपूर्ण अधिकार हैं, लेकिन ये घोषणा में उल्लिखित तीन मुख्य अविच्छेद्य अधिकार नहीं हैं।"
10,Question,धार्मिक स्वतंत्रता क्या है?
10,Correct_Answer_1,आप किसी भी धर्म का पालन कर सकते हैं या कोई धर्म नहीं अपना सकते
