ID,DataName,Value,Key,English,es,ar,fr,hi,ko,tl,vi,zh
59,Correct_Answer_1,American Indians,Indios americanos,الهنود الأمريكيون,Indiens d’Amérique,अमेरिकी भारतीय,아메리카 원주민,Mga Amerikanong Indian,Người Mỹ bản địa,美洲印第安人,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,Indigenous peoples who had lived in the Americas for thousands of years before European colonization.,Pueblos indígenas que vivieron en América durante miles de años antes de la colonización europea.,شعوب أصلية عاشت في الأمريكتين لآلاف السنين قبل الاستعمار الأوروبي.,Peuples autochtones ayant vécu en Amérique pendant des milliers d’années avant la colonisation européenne.,यूरोपीय उपनिवेशवाद से पहले हज़ारों वर्षों तक अमेरिका में रहने वाले आदिवासी लोग।,유럽 식민지화 이전 수천 년 동안 아메리카에 살던 원주민들입니다.,Mga katutubong tao na nanirahan sa Amerika sa loob ng libu-libong taon bago dumating ang mga Europeo.,Những người bản địa đã sống ở Châu Mỹ hàng ngàn năm trước khi người châu Âu đến.,在欧洲殖民前数千年就生活在美洲的原住民族。,,
59,Correct_Answer_2,Native Americans,Nativos americanos,الأمريكيون الأصليون,Amérindiens,मूल अमेरिकी,미국 원주민,Mga Katutubong Amerikano,Người Mỹ bản địa,美洲原住民,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,the Civil War,Correct_Answer_1,the Civil War,la Guerra Civil,الحرب الأهلية,la guerre de Sécession,गृह युद्ध,남북전쟁,ang Digmaang Sibil,cuộc Nội chiến Hoa Kỳ,美国内战
73,Correct_Rationale_1,The Civil War was fought between the Northern and Southern states over issues including slavery and states' rights.,Correct_Rationale_1,The Civil War was fought between the Northern and Southern states over issues including slavery and states' rights.,La Guerra Civil fue luchada entre los estados del Norte y del Sur por temas como la esclavitud y los derechos estatales.,دارت الحرب الأهلية بين الولايات الشمالية والجنوبية حول قضايا تشمل العبودية وحقوق الولايات.,La guerre de Sécession a opposé les États du Nord et du Sud à propos de l’esclavage et des droits des États.,गृह युद्ध उत्तर और दक्षिणी राज्यों के बीच गुलामी और राज्यों के अधिकारों जैसे मुद्दों पर लड़ा गया था।,남북전쟁은 노예제도와 주의 권리 문제를 두고 북부와 남부 주들 간에 벌어진 전쟁입니다.,Ang Digmaang Sibil ay nilabanan sa pagitan ng mga estado sa Hilaga at Timog dahil sa mga isyung gaya ng pagka-alipin at karapatan ng estado.,Cuộc Nội chiến Hoa Kỳ diễn ra giữa các bang miền Bắc và miền Nam về các vấn đề như chế độ nô lệ và quyền của các bang.,美国内战是北方和南方各州之间因奴隶制和州权等问题爆发的战争。
91,Correct_Answer_1,Puerto Rico,Correct_Answer_1,Puerto Rico,Puerto Rico,بورتو ريكو,Porto Rico,प्यूर्टो रिको,푸에르토리코,Puerto Rico,Puerto Rico,波多黎各
91,Correct_Rationale_1,Puerto Rico is an unincorporated U.S. territory in the Caribbean.,Correct_Rationale_1,Puerto Rico is an unincorporated U.S. territory in the Caribbean.,Puerto Rico es un territorio no incorporado de EE. UU. en el Caribe.,بورتو ريكو إقليم غير مدمج تابع للولايات المتحدة في الكاريبي.,Porto Rico est un territoire non incorporé des États-Unis dans les Caraïbes.,प्यूर्टो रिको कैरेबियन में एक गैर-समाविष्ट अमेरिकी क्षेत्र है।,푸에르토리코는 카리브해에 있는 미국의 비법인 영토입니다.,Ang Puerto Rico ay isang hindi inkorporadong teritoryo ng U.S. sa Caribbean.,Puerto Rico là một lãnh thổ chưa sáp nhập của Hoa Kỳ ở Caribe.,波多黎各是美国在加勒比地区的未合并领土。
91,Correct_Answer_2,Guam,Correct_Answer_2,Guam,Guam,غوام,Guam,गुआम,괌,Guam,Guam,关岛
91,Correct_Rationale_2,Guam is a U.S. territory in the Pacific Ocean.,Correct_Rationale_2,Guam is a U.S. territory in the Pacific Ocean.,Guam es un territorio de EE. UU. en el Océano Pacífico.,غوام إقليم تابع للولايات المتحدة في المحيط الهادئ.,Guam est un territoire américain dans l'océan Pacifique.,गुआम प्रशांत महासागर में एक अमेरिकी क्षेत्र है।,괌은 태평양에 있는 미국의 영토입니다.,Ang Guam ay isang teritoryo ng U.S. sa Karagatang Pasipiko.,Guam là một lãnh thổ của Hoa Kỳ ở Thái Bình Dương.,关岛是美国在太平洋的领土。
91,Correct_Answer_3,U.S. Virgin Islands,Correct_Answer_3,U.S. Virgin Islands,Islas Vírgenes de EE. UU.,جزر فيرجن الأمريكية,Îles Vierges des États-Unis,अमेरिकी वर्जिन द्वीपसमूह,미국령 버진아일랜드,U.S. Virgin Islands,Quần đảo Virgin thuộc Mỹ,美属维尔京群岛
91,Correct_Rationale_3,The U.S. Virgin Islands are a group of Caribbean islands and a U.S. territory.,Correct_Rationale_3,The U.S. Virgin Islands are a group of Caribbean islands and a U.S. territory.,Las Islas Vírgenes de EE. UU. son un grupo de islas del Caribe y un territorio de EE. UU.,جزر فيرجن الأمريكية مجموعة جزر في الكاريبي وإقليم أمريكي.,Les Îles Vierges des États-Unis sont un groupe d’îles caribéennes et un territoire américain.,अमेरिकी वर्जिन द्वीपसमूह कैरेबियन के द्वीपों का समूह और एक अमेरिकी क्षेत्र हैं।,미국령 버진아일랜드는 카리브해의 여러 섬으로 구성된 미국 영토입니다.,Ang U.S. Virgin Islands ay isang pangkat ng mga isla sa Caribbean at isang teritoryo ng U.S.,Quần đảo Virgin thuộc Mỹ là một nhóm đảo ở Caribe và là lãnh thổ của Hoa Kỳ.,美属维尔京群岛是加勒比的一组岛屿和美国的领土。
91,Correct_Answer_4,American Samoa,Correct_Answer_4,American Samoa,Samoa Americana,ساموا الأمريكية,Samoa américaines,अमेरिकी समोआ,아메리칸 사모아,American Samoa,Samoa thuộc Mỹ,美属萨摩亚
91,Correct_Rationale_4,American Samoa is a U.S. territory in the South Pacific Ocean.,Correct_Rationale_4,American Samoa is a U.S. territory in the South Pacific Ocean.,Samoa Americana es un territorio de EE. UU. en el Océano Pacífico Sur.,ساموا الأمريكية إقليم تابع للولايات المتحدة في جنوب المحيط الهادئ.,Les Samoa américaines sont un territoire américain dans le sud du Pacifique.,अमेरिकी समोआ दक्षिण प्रशांत महासागर में एक अमेरिकी क्षेत्र है।,아메리칸 사모아는 남태평양에 있는 미국 영토입니다.,Ang American Samoa ay isang teritoryo ng U.S. sa Timog Pasipiko.,Samoa thuộc Mỹ là một lãnh thổ của Hoa Kỳ ở Nam Thái Bình Dương.,美属萨摩亚是美国在南太平洋的领土。
91,Correct_Answer_5,Northern Mariana Islands,Correct_Answer_5,Northern Mariana Islands,Islas Marianas del Norte,جزر ماريانا الشمالية,Îles Mariannes du Nord,नॉर्दर्न मारियाना आइलैंड्स,북마리아나 제도,Northern Mariana Islands,Quần đảo Bắc Mariana,北马里亚纳群岛
91,Correct_Rationale_5,The Northern Mariana Islands are a U.S. commonwealth in the Pacific Ocean.,Correct_Rationale_5,The Northern Mariana Islands are a U.S. commonwealth in the Pacific Ocean.,Las Islas Marianas del Norte son una mancomunidad de EE. UU. en el Océano Pacífico.,جزر ماريانا الشمالية كومنولث تابع للولايات المتحدة في المحيط الهادئ.,Les Îles Mariannes du Nord sont un commonwealth américain dans l'océan Pacifique.,नॉर्दर्न मारियाना आइलैंड्स प्रशांत महासागर में एक अमेरिकी कॉमनवेल्थ हैं।,북마리아나 제도는 태평양에 있는 미국의 자치령입니다.,Ang Northern Mariana Islands ay isang commonwealth ng U.S. sa Karagatang Pasipiko.,Quần đảo Bắc Mariana là một cộng đồng chung của Hoa Kỳ ở Thái Bình Dương.,北马里亚纳群岛是美国在太平洋的一个自治邦。
92,Correct_Answer_1,Washington,Correct_Answer_1,Washington,Washington,واشنطن,Washington,वाशिंगटन,워싱턴,Washington,Washington,华盛顿州
92,Correct_Rationale_1,Washington shares a border with the Canadian province of British Columbia.,Correct_Rationale_1,Washington shares a border with the Canadian province of British Columbia.,Washington comparte frontera con la provincia canadiense de Columbia Británica.,واشنطن تحد مقاطعة كولومبيا البريطانية الكندية.,Washington partage une frontière avec la province canadienne de la Colombie-Britannique.,वाशिंगटन की सीमा कनाडा के ब्रिटिश कोलंबिया प्रांत से लगती है।,워싱턴주는 캐나다 브리티시컬럼비아주와 국경을 접하고 있습니다.,Ang Washington ay may hangganan sa lalawigan ng British Columbia sa Canada.,Washington giáp tỉnh British Columbia của Canada.,华盛顿州与加拿大不列颠哥伦比亚省接壤。
92,Correct_Answer_2,Alaska,Correct_Answer_2,Alaska,Alaska,ألاسكا,Alaska,अलास्का,알래스카,Alaska,Alaska,阿拉斯加州
