ID,DataName,es,,
59,Correct_Answer_1,Indios americanos,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,Pueblos indígenas que vivieron en América durante miles de años antes de la colonización europea.,,
59,Correct_Answer_2,Nativos americanos,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,la Guerra Civil,,
73,Correct_Rationale_1,La Guerra Civil fue luchada entre los estados del Norte y del Sur por temas como la esclavitud y los derechos estatales.,,
91,Correct_Answer_1,Puerto Rico,,
91,Correct_Rationale_1,Puerto Rico es un territorio no incorporado de EE. UU. en el Caribe.,,
91,Correct_Answer_2,Guam,,
91,Correct_Rationale_2,Guam es un territorio de EE. UU. en el Océano Pacífico.,,
91,Correct_Answer_3,Islas Vírgenes de EE. UU.,,
91,Correct_Rationale_3,Las Islas Vírgenes de EE. UU. son un grupo de islas del Caribe y un territorio de EE. UU.,,
91,Correct_Answer_4,Samoa Americana,,
91,Correct_Rationale_4,Samoa Americana es un territorio de EE. UU. en el Océano Pacífico Sur.,,
91,Correct_Answer_5,Islas Marianas del Norte,,
91,Correct_Rationale_5,Las Islas Marianas del Norte son una mancomunidad de EE. UU. en el Océano Pacífico.,,
92,Correct_Answer_1,Washington,,
92,Correct_Rationale_1,Washington comparte frontera con la provincia canadiense de Columbia Británica.,,
92,Correct_Answer_2,Alaska,,
92,Correct_Rationale_2,Alaska limita con Yukon y Columbia Británica en Canadá.,,
92,Correct_Answer_3,Nueva York,,
92,Correct_Rationale_3,Nueva York limita con las provincias canadienses de Ontario y Quebec.,,
92,Correct_Answer_4,Montana,,
92,Correct_Rationale_4,"Montana comparte una larga frontera con las provincias canadienses de Columbia Británica, Alberta y Saskatchewan.",,
93,Correct_Answer_1,California,,
93,Correct_Rationale_1,California limita con México en su frontera sur.,,
93,Correct_Answer_2,Arizona,,
93,Correct_Rationale_2,Arizona comparte una gran parte de su frontera sur con México.,,
93,Correct_Answer_3,Nuevo México,,
93,Correct_Rationale_3,Nuevo México limita con México al sur.,,
93,Correct_Answer_4,Texas,,
93,Correct_Rationale_4,Texas tiene la frontera más larga con México entre los estados de EE. UU.,,
100,Correct_Answer_1,Día de Año Nuevo,,
100,Correct_Rationale_1,Celebra el comienzo del nuevo año el 1 de enero.,,
100,Correct_Answer_2,"Día de Martin Luther King, Jr.",,
100,Correct_Rationale_2,"Honra al líder de derechos civiles Martin Luther King, Jr.",,
100,Correct_Answer_3,Día de los Presidentes,,
100,Correct_Rationale_3,Celebra los cumpleaños de George Washington y Abraham Lincoln.,,
100,Correct_Answer_4,Día de los Caídos,,
100,Correct_Rationale_4,Honra a los que murieron en servicio militar.,,
100,Correct_Answer_5,Día de la Independencia,,
100,Correct_Rationale_5,Celebra la adopción de la Declaración de Independencia en 1776.,,
100,Correct_Answer_6,Día del Trabajo,,
100,Correct_Rationale_6,Honra a los trabajadores estadounidenses y el movimiento laboral.,,
100,Correct_Answer_7,Día de la Raza,,
100,Correct_Rationale_7,Conmemora la llegada de Cristóbal Colón a América.,,
100,Correct_Answer_8,Día de los Veteranos,,
100,Correct_Rationale_8,Honra a todos los veteranos militares de EE. UU.,,
100,Correct_Answer_9,Día de Acción de Gracias,,
100,Correct_Rationale_9,Día para dar gracias por la cosecha y bendiciones del año.,,
100,Correct_Answer_10,Navidad,,
100,Correct_Rationale_10,Celebra el nacimiento de Jesucristo y es ampliamente celebrado en EE. UU.,,
