ID,DataName,hi,,
59,Correct_Answer_1,अमेरिकी भारतीय,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,यूरोपीय उपनिवेशवाद से पहले हज़ारों वर्षों तक अमेरिका में रहने वाले आदिवासी लोग।,,
59,Correct_Answer_2,मूल अमेरिकी,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,गृह युद्ध,,
73,Correct_Rationale_1,गृह युद्ध उत्तर और दक्षिणी राज्यों के बीच गुलामी और राज्यों के अधिकारों जैसे मुद्दों पर लड़ा गया था।,,
91,Correct_Answer_1,प्यूर्टो रिको,,
91,Correct_Rationale_1,प्यूर्टो रिको कैरेबियन में एक गैर-समाविष्ट अमेरिकी क्षेत्र है।,,
91,Correct_Answer_2,गुआम,,
91,Correct_Rationale_2,गुआम प्रशांत महासागर में एक अमेरिकी क्षेत्र है।,,
91,Correct_Answer_3,अमेरिकी वर्जिन द्वीपसमूह,,
91,Correct_Rationale_3,अमेरिकी वर्जिन द्वीपसमूह कैरेबियन के द्वीपों का समूह और एक अमेरिकी क्षेत्र हैं।,,
91,Correct_Answer_4,अमेरिकी समोआ,,
91,Correct_Rationale_4,अमेरिकी समोआ दक्षिण प्रशांत महासागर में एक अमेरिकी क्षेत्र है।,,
91,Correct_Answer_5,नॉर्दर्न मारियाना आइलैंड्स,,
91,Correct_Rationale_5,नॉर्दर्न मारियाना आइलैंड्स प्रशांत महासागर में एक अमेरिकी कॉमनवेल्थ हैं।,,
92,Correct_Answer_1,वाशिंगटन,,
92,Correct_Rationale_1,वाशिंगटन की सीमा कनाडा के ब्रिटिश कोलंबिया प्रांत से लगती है।,,
92,Correct_Answer_2,अलास्का,,
92,Correct_Rationale_2,अलास्का की सीमा कनाडा के युकोन और ब्रिटिश कोलंबिया से लगती है।,,
92,Correct_Answer_3,न्यूयॉर्क,,
92,Correct_Rationale_3,न्यूयॉर्क की सीमा कनाडा के ओंटारियो और क्यूबेक से लगती है।,,
92,Correct_Answer_4,मोंटाना,,
92,Correct_Rationale_4,"मोंटाना की सीमा कनाडा के ब्रिटिश कोलंबिया, अलबर्टा और सस्केचेवान प्रांतों से लगती है।",,
93,Correct_Answer_1,कैलिफ़ोर्निया,,
93,Correct_Rationale_1,कैलिफ़ोर्निया की दक्षिणी सीमा मैक्सिको से लगती है।,,
93,Correct_Answer_2,एरिज़ोना,,
93,Correct_Rationale_2,एरिज़ोना अपनी दक्षिणी सीमा का एक बड़ा हिस्सा मैक्सिको के साथ साझा करता है।,,
93,Correct_Answer_3,न्यू मैक्सिको,,
93,Correct_Rationale_3,न्यू मैक्सिको दक्षिण में मैक्सिको से सटा हुआ है।,,
93,Correct_Answer_4,टेक्सास,,
93,Correct_Rationale_4,टेक्सास की मैक्सिको के साथ सबसे लंबी सीमा है।,,
100,Correct_Answer_1,नववर्ष दिवस,,
100,Correct_Rationale_1,1 जनवरी को नए वर्ष की शुरुआत का उत्सव होता है।,,
100,Correct_Answer_2,मार्टिन लूथर किंग जूनियर दिवस,,
100,Correct_Rationale_2,नागरिक अधिकार नेता मार्टिन लूथर किंग जूनियर को सम्मानित करता है।,,
100,Correct_Answer_3,राष्ट्रपतियों का दिवस,,
100,Correct_Rationale_3,यह जॉर्ज वॉशिंगटन और अब्राहम लिंकन के जन्मदिन का उत्सव है।,,
100,Correct_Answer_4,स्मृति दिवस,,
100,Correct_Rationale_4,यह उन लोगों को सम्मानित करता है जिन्होंने अमेरिकी सेना में सेवा करते हुए प्राण दिए।,,
100,Correct_Answer_5,स्वतंत्रता दिवस,,
100,Correct_Rationale_5,1776 में स्वतंत्रता की घोषणा को अपनाने का उत्सव।,,
100,Correct_Answer_6,श्रमिक दिवस,,
100,Correct_Rationale_6,अमेरिकी श्रमिकों और श्रमिक आंदोलन को सम्मानित करता है।,,
100,Correct_Answer_7,कोलंबस दिवस,,
100,Correct_Rationale_7,यह क्रिस्टोफर कोलंबस के अमेरिका आगमन की याद में है।,,
100,Correct_Answer_8,पूर्व सैनिक दिवस,,
100,Correct_Rationale_8,यह सभी अमेरिकी सैन्य दिग्गजों को सम्मानित करता है।,,
100,Correct_Answer_9,धन्यवाद दिवस,,
100,Correct_Rationale_9,पिछले वर्ष की फसल और आशीर्वादों के लिए धन्यवाद देने का दिन।,,
100,Correct_Answer_10,क्रिसमस,,
100,Correct_Rationale_10,यीशु मसीह के जन्म का उत्सव और अमेरिका में व्यापक रूप से मनाया जाता है।,,
