ID,DataName,ko,,
59,Correct_Answer_1,아메리카 원주민,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,유럽 식민지화 이전 수천 년 동안 아메리카에 살던 원주민들입니다.,,
59,Correct_Answer_2,미국 원주민,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,남북전쟁,,
73,Correct_Rationale_1,남북전쟁은 노예제도와 주의 권리 문제를 두고 북부와 남부 주들 간에 벌어진 전쟁입니다.,,
91,Correct_Answer_1,푸에르토리코,,
91,Correct_Rationale_1,푸에르토리코는 카리브해에 있는 미국의 비법인 영토입니다.,,
91,Correct_Answer_2,괌,,
91,Correct_Rationale_2,괌은 태평양에 있는 미국의 영토입니다.,,
91,Correct_Answer_3,미국령 버진아일랜드,,
91,Correct_Rationale_3,미국령 버진아일랜드는 카리브해의 여러 섬으로 구성된 미국 영토입니다.,,
91,Correct_Answer_4,아메리칸 사모아,,
91,Correct_Rationale_4,아메리칸 사모아는 남태평양에 있는 미국 영토입니다.,,
91,Correct_Answer_5,북마리아나 제도,,
91,Correct_Rationale_5,북마리아나 제도는 태평양에 있는 미국의 자치령입니다.,,
92,Correct_Answer_1,워싱턴,,
92,Correct_Rationale_1,워싱턴주는 캐나다 브리티시컬럼비아주와 국경을 접하고 있습니다.,,
92,Correct_Answer_2,알래스카,,
92,Correct_Rationale_2,알래스카는 캐나다의 유콘 준주와 브리티시컬럼비아주와 접해 있습니다.,,
92,Correct_Answer_3,뉴욕,,
92,Correct_Rationale_3,뉴욕주는 캐나다 온타리오주와 퀘벡주와 국경을 맞대고 있습니다.,,
92,Correct_Answer_4,몬태나,,
92,Correct_Rationale_4,"몬태나는 캐나다의 브리티시컬럼비아, 앨버타, 서스캐처원과 국경을 접하고 있습니다.",,
93,Correct_Answer_1,캘리포니아,,
93,Correct_Rationale_1,캘리포니아는 남쪽으로 멕시코와 국경을 접하고 있습니다.,,
93,Correct_Answer_2,애리조나,,
93,Correct_Rationale_2,애리조나는 남부 국경의 큰 부분을 멕시코와 접하고 있습니다.,,
93,Correct_Answer_3,뉴멕시코,,
93,Correct_Rationale_3,뉴멕시코는 남쪽으로 멕시코와 접해 있습니다.,,
93,Correct_Answer_4,텍사스,,
93,Correct_Rationale_4,텍사스는 미국 주 중에서 멕시코와 가장 긴 국경을 공유합니다.,,
100,Correct_Answer_1,새해 첫날,,
100,Correct_Rationale_1,"1월 1일, 새해의 시작을 기념합니다.",,
100,Correct_Answer_2,마틴 루터 킹 주니어 데이,,
100,Correct_Rationale_2,민권 운동가 마틴 루터 킹 주니어를 기리는 날입니다.,,
100,Correct_Answer_3,대통령의 날,,
100,Correct_Rationale_3,조지 워싱턴과 에이브러햄 링컨의 생일을 기념합니다.,,
100,Correct_Answer_4,메모리얼 데이,,
100,Correct_Rationale_4,미군 복무 중 사망한 이들을 기리는 날입니다.,,
100,Correct_Answer_5,독립기념일,,
100,Correct_Rationale_5,1776년 독립 선언서를 채택한 것을 기념합니다.,,
100,Correct_Answer_6,노동절,,
100,Correct_Rationale_6,미국 노동자들과 노동 운동을 기리는 날입니다.,,
100,Correct_Answer_7,콜럼버스 데이,,
100,Correct_Rationale_7,크리스토퍼 콜럼버스의 아메리카 도착을 기립니다.,,
100,Correct_Answer_8,재향군인의 날,,
100,Correct_Rationale_8,모든 미군 참전용사를 기리는 날입니다.,,
100,Correct_Answer_9,추수감사절,,
100,Correct_Rationale_9,지난 한 해의 수확과 축복에 감사하는 날입니다.,,
100,Correct_Answer_10,크리스마스,,
100,Correct_Rationale_10,예수 그리스도의 탄생을 기념하며 미국에서 널리 기념됩니다.,,
