ID,DataName,tl,
1,Question,Ano ang pinakamataas na batas ng bansa?,
1,Correct_Answer_1,ang Konstitusyon,
1,Correct_Rationale_1,Ang Konstitusyon ay ang pundamental at pinakamataas na batas ng pamahalaan ng U.S.,
1,Wrong_Answer_1,ang Deklarasyon ng Kalayaan,
1,Wrong_Rationale_1,"Ang Deklarasyon ng Kalayaan ay isang mahalagang dokumento na nagdeklara ng kalayaan, ngunit hindi ito batas.",
1,Wrong_Answer_2,ang Bill of Rights,
1,Wrong_Rationale_2,"Ang Bill of Rights ay bahagi ng Konstitusyon (ang unang 10 amyenda), hindi ang buong pinakamataas na batas.",
1,Wrong_Answer_3,ang mga Papel ng Federalista,
1,Wrong_Rationale_3,Ang mga Papel ng Federalista ay isang serye ng mga sanaysay na isinulat upang hikayatin ang mga tao na ratipikahan ang Konstitusyon.,
2,Question,Ano ang ginagawa ng Konstitusyon?,
2,Correct_Answer_1,itinatatag ang pamahalaan,
2,Correct_Rationale_1,Isa sa mga pangunahing tungkulin ng Konstitusyon ay ang magtatag at magtakda ng pamahalaan.,
2,Correct_Answer_2,tinutukoy ang pamahalaan,
2,Correct_Rationale_2,Tinutukoy ng Konstitusyon ang mga kapangyarihan at pananagutan ng bawat sangay ng pamahalaan.,
2,Correct_Answer_3,pinoprotektahan ang mga pangunahing karapatan ng mga Amerikano,
2,Correct_Rationale_3,"Maraming mga susog, kabilang ang Bill of Rights, ang nagpoprotekta sa mga pangunahing karapatan ng mga mamamayan.",
2,Wrong_Answer_1,"inihahalal ang Pangulo, gumagawa ng batas, nangongolekta ng buwis",
2,Wrong_Rationale_1,"Itinatakda ng Konstitusyon ang proseso para sa paghalal ng Pangulo, ngunit hindi ito mismo ang pumipili ng Pangulo. Ang mga batas ay ginagawa ng Kongreso, hindi ng Konstitusyon mismo. Ang pangongolekta ng buwis ay kapangyarihang ibinigay sa Kongreso ng Konstitusyon, hindi aksyon ng Konstitusyon mismo.",
2,Wrong_Answer_2,"nagpapatupad ng mga batas, namumuno sa militar, nakikipagkasundo sa mga tratado",
2,Wrong_Rationale_2,"Ito ay mga kapangyarihan ng sangay ng ehekutibo na ibinigay ng Konstitusyon, ngunit hindi ito mismo ang ginagawa ng Konstitusyon.",
2,Wrong_Answer_3,"nagsusuri ng mga batas, nag-aayos ng mga alitan, nire-review ang mga kaso sa korte",
2,Wrong_Rationale_3,"Ito ay mga tungkulin ng sangay ng hudikatura na itinatag ng Konstitusyon, ngunit hindi ito direktang aksyon ng Konstitusyon mismo.",
