ID,DataName,vi,
1,Question,Luật tối cao của đất nước là gì?,
1,Correct_Answer_1,Hiến pháp,
1,Correct_Rationale_1,Hiến pháp là luật cơ bản và tối cao của chính phủ Hoa Kỳ.,
1,Wrong_Answer_1,Tuyên ngôn Độc lập,
1,Wrong_Rationale_1,"Tuyên ngôn Độc lập là một tài liệu quan trọng tuyên bố độc lập, nhưng nó không phải là luật.",
1,Wrong_Answer_2,Tuyên ngôn Nhân quyền,
1,Wrong_Rationale_2,"Tuyên ngôn Nhân quyền là một phần của Hiến pháp (10 tu chính án đầu tiên), không phải toàn bộ luật tối cao.",
1,Wrong_Answer_3,Các bài viết của Liên bang,
1,Wrong_Rationale_3,Các bài viết của Liên bang là một loạt các bài luận được viết để thuyết phục mọi người phê chuẩn Hiến pháp.,
2,Question,Hiến pháp làm gì?,
2,Correct_Answer_1,thiết lập chính phủ,
2,Correct_Rationale_1,Một trong những chức năng chính của Hiến pháp là thiết lập và định nghĩa chính phủ.,
2,Correct_Answer_2,định nghĩa chính phủ,
2,Correct_Rationale_2,Hiến pháp quy định quyền hạn và trách nhiệm của từng nhánh chính phủ.,
2,Correct_Answer_3,bảo vệ các quyền cơ bản của người Mỹ,
2,Correct_Rationale_3,"Một số tu chính án, bao gồm Tuyên ngôn Nhân quyền, bảo vệ các quyền cơ bản của công dân.",
2,Wrong_Answer_1,"bầu Tổng thống, làm luật, thu thuế",
2,Wrong_Rationale_1,"Hiến pháp quy định quy trình bầu Tổng thống, nhưng không tự bầu Tổng thống. Luật do Quốc hội ban hành, không phải trực tiếp do Hiến pháp. Việc thu thuế là quyền do Hiến pháp trao cho Quốc hội, không phải hành động của bản thân Hiến pháp.",
2,Wrong_Answer_2,"thực thi luật pháp, chỉ huy quân đội, đàm phán các hiệp ước",
2,Wrong_Rationale_2,"Đây là những quyền hạn của nhánh hành pháp được Hiến pháp trao, nhưng không phải là những gì bản thân Hiến pháp làm.",
2,Wrong_Answer_3,"giải thích luật pháp, giải quyết tranh chấp, xem xét các vụ án",
2,Wrong_Rationale_3,"Đây là các chức năng của nhánh tư pháp được Hiến pháp thiết lập, nhưng không phải là hành động trực tiếp của bản thân Hiến pháp.",
3,Question,Ý tưởng về tự trị nằm trong ba từ đầu tiên của Hiến pháp. Những từ đó là gì?,
3,Correct_Answer_1,"Chúng tôi, Nhân dân",
3,Correct_Rationale_1,Những từ này tượng trưng cho quyền lực của chính phủ xuất phát từ nhân dân.,
3,Wrong_Answer_1,Bốn mươi năm và,
3,Wrong_Rationale_1,Đây là phần mở đầu của Bài diễn văn Gettysburg của Lincoln.,
3,Wrong_Answer_2,Quốc hội sẽ ban hành,
3,Wrong_Rationale_2,Đây là một cụm từ trong Điều I của Hiến pháp.,
3,Wrong_Answer_3,Tôi tuyên thệ trung thành,
3,Wrong_Rationale_3,Đây là phần mở đầu của Lời thề trung thành.,
4,Question,Sửa đổi là gì?,
4,Correct_Answer_1,một sự thay đổi,
4,Correct_Rationale_1,Sửa đổi là một thay đổi đối với Hiến pháp.,
4,Correct_Answer_2,một bổ sung,
4,Correct_Rationale_2,Sửa đổi là một bổ sung vào Hiến pháp.,
4,Wrong_Answer_1,"một luật mới, một phán quyết của Tòa án Tối cao",
4,Wrong_Rationale_1,"Luật mới được Quốc hội ban hành và khác với sửa đổi, vốn thay đổi chính Hiến pháp. Phán quyết của Tòa án Tối cao diễn giải luật nhưng không trực tiếp thay đổi văn bản Hiến pháp.",
4,Wrong_Answer_2,"một hiệp ước, một thỏa thuận hành pháp",
4,Wrong_Rationale_2,Hiệp ước là một thỏa thuận quốc tế cần được Thượng viện phê chuẩn nhưng không thay đổi Hiến pháp. Thỏa thuận hành pháp được Tổng thống ký với các quốc gia nước ngoài mà không cần Thượng viện phê chuẩn.,
4,Wrong_Answer_3,"một luật tiểu bang, một quy định liên bang",
4,Wrong_Rationale_3,"Luật tiểu bang chỉ áp dụng trong tiểu bang đó và không thể thay đổi Hiến pháp liên bang. Quy định liên bang là một quy tắc do các cơ quan liên bang ban hành để thực thi luật, nhưng không thể sửa đổi Hiến pháp.",
5,Question,Chúng ta gọi mười tu chính án đầu tiên của Hiến pháp là gì?,
5,Correct_Answer_1,Tuyên ngôn Nhân quyền,
5,Correct_Rationale_1,Mười tu chính án này đảm bảo các quyền và tự do cá nhân cốt lõi.,
5,Wrong_Answer_1,Tuyên ngôn Độc lập,
5,Wrong_Rationale_1,"Tuyên ngôn Độc lập, từ năm 1776, tuyên bố độc lập và không phải là một tập hợp các tu chính án hiến pháp.",
5,Wrong_Answer_2,Các bài viết của Liên bang,
5,Wrong_Rationale_2,Các bài viết của Liên bang là một loạt các bài luận được viết để thuyết phục mọi người phê chuẩn Hiến pháp.,
5,Wrong_Answer_3,Tuyên ngôn Giải phóng Nô lệ,
5,Wrong_Rationale_3,Tuyên ngôn Giải phóng Nô lệ là một sắc lệnh hành pháp của Lincoln giải phóng nô lệ ở Liên minh miền Nam.,
6,Question,Quyền hoặc tự do nào từ Tu chính án thứ nhất?,
6,Correct_Answer_1,tự do tôn giáo,
6,Correct_Rationale_1,Tu chính án thứ nhất cấm chính phủ can thiệp vào việc lựa chọn tôn giáo của cá nhân.,
6,Correct_Answer_2,tự do ngôn luận,
