ID,DataName,Value,Key,English,es,ar,fr,hi,ko,tl,vi,zh,
1,Question,What is the supreme law of the land?,Question,What is the supreme law of the land?,¿Cuál es la ley suprema del país?,__ __ _______ ______ __ _______,Quelle est la loi suprême du pays ?,____ __ ________ _____ ____ __?,___ __ __ _____?,Ano ang pinakamataas na batas ng bansa?,Lu_t t_i cao c_a __t n__c là gì?,___________,
1,Correct_Answer_1,the Constitution,Correct_Answer_1,the Constitution,la Constitución,_______,la Constitution,_______,__,ang Konstitusyon,Hi_n pháp,__,
1,Correct_Rationale_1,"The Constitution is the foundational, supreme law of the U.S. government.",Correct_Rationale_1,"The Constitution is the foundational, supreme law of the U.S. government.",La Constitución es la ley fundamental y suprema del gobierno de los Estados Unidos.,_______ __ _______ _______ _______ _______ _________.,La Constitution est la loi fondamentale et suprême du gouvernement des États-Unis.,_______ _______ _____ __ ______ __ ________ _____ ___,___ __ ___ _____ __ ____.,Ang Konstitusyon ay ang pundamental at pinakamataas na batas ng pamahalaan ng U.S.,Hi_n pháp là lu_t c_ b_n và t_i cao c_a chính ph_ Hoa K_.,__________________,
1,Wrong_Answer_1,the Declaration of Independence,Wrong_Answer_1,the Declaration of Independence,la Declaración de Independencia,_____ _________,la Déclaration d'indépendance,__________ __ _____,__ ___,ang Deklarasyon ng Kalayaan,Tuyên ngôn __c l_p,____,
1,Wrong_Rationale_1,"The Declaration of Independence is a crucial document that declared independence, but it is not a law.",Wrong_Rationale_1,"The Declaration of Independence is a crucial document that declared independence, but it is not a law.","La Declaración de Independencia es un documento crucial que declaró la independencia, pero no es una ley.","_____ _________ _____ ____ _____ __________ _____ ____ _______.","La Déclaration d'indépendance est un document crucial qui a déclaré l'indépendance, mais ce n'est pas une loi.","__________ __ _____ __ __________ _________ __ _____ __________ __ _____ __, _____ __ ___ _____ ____ ___",__ ____ ___ ___ ___ _____ __ ____.,"Ang Deklarasyon ng Kalayaan ay isang mahalagang dokumento na nagdeklara ng kalayaan, ngunit hindi ito batas.","Tuyên ngôn __c l_p là m_t tài li_u quan tr_ng tuyên b_ __c l_p, nh_ng nó không ph_i là lu_t.",______________________,
1,Wrong_Answer_2,the Bill of Rights,Wrong_Answer_2,the Bill of Rights,la Carta de Derechos,_____ ______,la Déclaration des droits,________ __ ______,__ __,ang Bill of Rights,Tuyên ngôn Nhân quy_n,____,
1,Wrong_Rationale_2,"The Bill of Rights is a part of the Constitution (the first 10 amendments), not the entire supreme law itself.",Wrong_Rationale_2,"The Bill of Rights is a part of the Constitution (the first 10 amendments), not the entire supreme law itself.","La Carta de Derechos es parte de la Constitución (las primeras 10 enmiendas), no toda la ley suprema en sí misma.","_____ ______ __ ___ __ _______ (___ 10 _______)_ _____ _______ ______ _______.","La Déclaration des droits fait partie de la Constitution (les 10 premiers amendements), pas toute la loi suprême.","________ __ ______ _______ __ ______ __ (____ 10 ______), _ __ ____ ________ ______",__ ___ ___ __(_ 10_ ___)__ __ __ __ ____.,"Ang Bill of Rights ay bahagi ng Konstitusyon (ang unang 10 amyenda), hindi ang buong pinakamataas na batas.","Tuyên ngôn Nhân quy_n là m_t ph_n c_a Hi_n pháp (10 tu chính án __u tiên), không ph_i toàn b_ lu_t t_i cao.",_____________________________,
1,Wrong_Answer_3,the Federalist Papers,Wrong_Answer_3,the Federalist Papers,los Documentos Federalistas,_____ ___________,les Papiers fédéralistes,__________ __ ______,_____ __,ang mga Papel ng Federalista,Các bài vi_t c_a Liên bang,______,
1,Wrong_Rationale_3,The Federalist Papers were a series of essays written to persuade people to ratify the Constitution.,Wrong_Rationale_3,The Federalist Papers were a series of essays written to persuade people to ratify the Constitution.,Los Documentos Federalistas fueron una serie de ensayos escritos para persuadir a la gente de ratificar la Constitución.,____ _____ ___________ _____ __ ________ ____ _____ ______ _____ ________ ___ _______.,Les Papiers fédéralistes étaient une série d'essais écrits pour persuader les gens de ratifier la Constitution.,__________ __ ______ _______ __ __ ________ __ __ _____ __ _______ __ ______ ____ __ ___ _____ ____ ____ __ ___,_____ ___ ____ ___ _____ ____ __ ___ ___ _______.,Ang mga Papel ng Federalista ay isang serye ng mga sanaysay na isinulat upang hikayatin ang mga tao na ratipikahan ang Konstitusyon.,Các bài vi_t c_a Liên bang là m_t lo_t các bài lu_n ___c vi_t __ thuy_t ph_c m_i ng__i phê chu_n Hi_n pháp.,__________________________,
2,Question,What does the Constitution do?,Question,What does the Constitution do?,¿Qué hace la Constitución?,____ ____ ________,Que fait la Constitution ?,_______ ____ ____ __?,___ ___ ___?,Ano ang ginagawa ng Konstitusyon?,Hi_n pháp làm gì?,_________,
